classifier,top_k,estimated_model_units,max_depth,train_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
gradient_boosting_20,126,20,2,344,73,0.6575342465753424,0.6806526806526807,0.6603174603174603,0.6672007888573894,0.6578398612745653,0.7142857142857142,0.6557377049180327,0.631578947368421
random_forest_10,150,10,8,344,73,0.6575342465753424,0.7444444444444445,0.6388888888888888,0.6652173913043478,0.6589239626761961,0.6956521739130436,0.6666666666666665,0.6333333333333333
gradient_boosting_20,180,20,2,344,73,0.6438356164383562,0.7287356321839081,0.638888888888889,0.6643126177024482,0.6466411268477672,0.7499999999999999,0.6666666666666665,0.576271186440678
random_forest_3,150,3,8,344,73,0.6438356164383562,0.6857864357864359,0.6476190476190476,0.6620256963200246,0.6478201875183376,0.7407407407407408,0.5901639344262296,0.6551724137931035
sklearn_tree_depth6,180,1,6,344,73,0.6438356164383562,0.6554330065359477,0.6682539682539682,0.6594292803970223,0.6420255617118189,0.7500000000000001,0.6153846153846153,0.6129032258064516
gradient_boosting_depth3_5,126,5,3,344,73,0.6301369863013698,0.71875,0.6253968253968254,0.6543010752688172,0.636124613345117,0.7499999999999999,0.6000000000000001,0.6129032258064516
sklearn_tree_depth8,231,1,8,344,73,0.6301369863013698,0.6573070607553366,0.6476190476190476,0.6518605104227547,0.6307774833270618,0.7586206896551724,0.6206896551724138,0.576271186440678
sklearn_tree_depth10,231,1,10,344,73,0.6301369863013698,0.6573070607553366,0.6476190476190476,0.6518605104227547,0.6307774833270618,0.7586206896551724,0.6206896551724138,0.576271186440678
sklearn_tree_depth12,231,1,12,344,73,0.6301369863013698,0.6573070607553366,0.6476190476190476,0.6518605104227547,0.6307774833270618,0.7586206896551724,0.6206896551724138,0.576271186440678
gradient_boosting_10,231,10,2,344,73,0.6301369863013698,0.6700191570881225,0.638095238095238,0.6499267629211132,0.6308077290199416,0.7407407407407408,0.6666666666666666,0.5423728813559322
random_forest_10,231,10,8,344,73,0.6438356164383562,0.6811359026369169,0.6261904761904762,0.6438888888888888,0.6440639269406393,0.64,0.6666666666666666,0.625
random_forest_20,231,20,8,344,73,0.6438356164383562,0.6793010752688172,0.6261904761904762,0.6430763623109167,0.6436813289693447,0.64,0.6440677966101694,0.6451612903225806
gradient_boosting_20,231,20,2,344,73,0.6301369863013698,0.6690858161446398,0.6277777777777778,0.6404837283591455,0.6288230336716478,0.6923076923076923,0.6774193548387097,0.5517241379310344
gradient_boosting_20,150,20,2,344,73,0.6438356164383562,0.6617790811339198,0.626984126984127,0.6387671789172207,0.642497872169737,0.6153846153846153,0.6779661016949152,0.6229508196721313
gradient_boosting_30,100,30,2,344,73,0.6301369863013698,0.6923747276688453,0.6158730158730159,0.6372759856630825,0.6310207688908528,0.6666666666666667,0.6451612903225806,0.6
extra_trees_3,231,3,8,344,73,0.6712328767123288,0.6712418300653594,0.6285714285714286,0.6365591397849462,0.6626159964648696,0.5,0.7096774193548386,0.7
extra_trees_10,231,10,8,344,73,0.6164383561643836,0.6807123655913978,0.6134920634920634,0.6363914707490431,0.6208587670483907,0.7200000000000001,0.5762711864406779,0.6129032258064516
custom_tree_depth6,231,1,6,344,73,0.6027397260273972,0.6683080808080808,0.6126984126984127,0.633866689484042,0.6083026334142491,0.7692307692307692,0.5517241379310344,0.5806451612903225
gradient_boosting_depth3_20,180,20,3,344,73,0.6301369863013698,0.6427084224637061,0.6261904761904762,0.6332292479833463,0.6303348197576808,0.6428571428571429,0.6666666666666666,0.5901639344262295
extra_trees_20,126,20,8,344,73,0.6301369863013698,0.629320987654321,0.6373015873015874,0.6322749773952866,0.6289997778513818,0.6451612903225806,0.6551724137931035,0.5964912280701755
gradient_boosting_depth3_5,180,5,3,344,73,0.6164383561643836,0.6600487634970394,0.6134920634920634,0.6306578411841569,0.6189261351481972,0.6923076923076923,0.5964912280701754,0.6031746031746033
gradient_boosting_30,70,30,2,344,73,0.6301369863013698,0.6932539682539683,0.6047619047619047,0.6256498734759605,0.6288796241148832,0.608695652173913,0.634920634920635,0.6333333333333333
gradient_boosting_depth3_5,150,5,3,344,73,0.6027397260273972,0.6494779730073847,0.6015873015873016,0.6191620879120879,0.6054399367755532,0.6923076923076923,0.5714285714285714,0.59375
gradient_boosting_10,180,10,2,344,73,0.6027397260273972,0.6706706706706708,0.5944444444444444,0.6130454340980657,0.6011202928290167,0.6666666666666667,0.6461538461538462,0.5263157894736842
extra_trees_5,231,5,8,344,73,0.6438356164383562,0.6333333333333333,0.603968253968254,0.611195037401934,0.6369480621724364,0.48,0.6551724137931035,0.6984126984126984
gradient_boosting_depth3_10,150,10,3,344,73,0.6027397260273972,0.6484848484848484,0.5920634920634921,0.6107060755336616,0.6044132532559552,0.64,0.6206896551724138,0.5714285714285713
sklearn_tree_depth8,180,1,8,344,73,0.6027397260273972,0.6221719457013575,0.6015873015873016,0.6097332451499119,0.6033965717184896,0.6428571428571429,0.5925925925925927,0.59375
sklearn_tree_depth10,180,1,10,344,73,0.6027397260273972,0.6221719457013575,0.6015873015873016,0.6097332451499119,0.6033965717184896,0.6428571428571429,0.5925925925925927,0.59375
sklearn_tree_depth12,180,1,12,344,73,0.6027397260273972,0.6221719457013575,0.6015873015873016,0.6097332451499119,0.6033965717184896,0.6428571428571429,0.5925925925925927,0.59375
gradient_boosting_depth3_10,70,10,3,344,73,0.6164383561643836,0.6560846560846562,0.5944444444444444,0.6085967432950191,0.612482286254133,0.5833333333333334,0.6562499999999999,0.5862068965517241
gradient_boosting_depth3_20,150,20,3,344,73,0.6027397260273972,0.6285353535353536,0.5936507936507937,0.6051282051282051,0.6013347383210397,0.6153846153846153,0.6666666666666666,0.5333333333333333
gradient_boosting_depth3_10,100,10,3,344,73,0.6027397260273972,0.6742277992277992,0.5825396825396826,0.6034290547034176,0.6020193275332829,0.608695652173913,0.6153846153846154,0.5862068965517241
random_forest_5,100,5,8,344,73,0.6027397260273972,0.6447268382752255,0.580952380952381,0.5988924760111202,0.6017806007938351,0.5833333333333334,0.6101694915254238,0.6031746031746033
gradient_boosting_20,100,20,2,344,73,0.6027397260273972,0.6451377485860245,0.5825396825396826,0.5981750515648822,0.6002179913835358,0.5833333333333334,0.634920634920635,0.576271186440678
gradient_boosting_depth3_10,180,10,3,344,73,0.6027397260273972,0.6252525252525252,0.580952380952381,0.5946214194490057,0.601021211507749,0.56,0.6206896551724138,0.6031746031746033
sklearn_tree_depth6,100,1,6,344,73,0.589041095890411,0.6181186868686869,0.5817460317460318,0.594017094017094,0.5885493501931858,0.6153846153846153,0.6333333333333334,0.5333333333333333
gradient_boosting_10,126,10,2,344,73,0.6027397260273972,0.6308771929824561,0.5833333333333334,0.5927272727272727,0.5982565379825654,0.56,0.6363636363636364,0.5818181818181818
gradient_boosting_20,70,20,2,344,73,0.6027397260273972,0.6253086419753086,0.5833333333333334,0.5925511695906432,0.5974945926459986,0.56,0.6562499999999999,0.5614035087719299
gradient_boosting_depth3_20,100,20,3,344,73,0.6027397260273972,0.6709677419354838,0.5706349206349207,0.5905266561004267,0.5994415296009727,0.5454545454545455,0.603174603174603,0.6229508196721313
gradient_boosting_10,150,10,2,344,73,0.589041095890411,0.6610623781676414,0.5722222222222223,0.5904583593370778,0.5854532915753566,0.608695652173913,0.6363636363636364,0.5263157894736842
gradient_boosting_depth3_20,70,20,3,344,73,0.6027397260273972,0.638888888888889,0.5722222222222222,0.585024154589372,0.5957911455231288,0.5217391304347827,0.6666666666666665,0.5666666666666667
gradient_boosting_depth3_5,70,5,3,344,73,0.6164383561643836,0.6417989417989419,0.5730158730158731,0.5806818181818182,0.6036737235367373,0.4545454545454545,0.6875000000000001,0.6
random_forest_5,180,5,8,344,73,0.6027397260273972,0.603030303030303,0.5706349206349207,0.5787613843351548,0.5978441500112284,0.48,0.6229508196721312,0.6333333333333333
random_forest_20,126,20,8,344,73,0.6164383561643836,0.618516761543327,0.5706349206349206,0.5783668017686072,0.6060703758290347,0.43478260869565216,0.6440677966101694,0.65625
gradient_boosting_depth3_10,126,10,3,344,73,0.6027397260273972,0.6661706349206349,0.5603174603174603,0.5746714456391876,0.5932565985592941,0.47619047619047616,0.634920634920635,0.6129032258064516
random_forest_3,100,3,8,344,73,0.6301369863013698,0.6405405405405404,0.5706349206349207,0.574230652974863,0.611727783915969,0.3809523809523809,0.6551724137931035,0.6865671641791045
custom_tree_depth8,100,1,8,344,73,0.5616438356164384,0.597979797979798,0.5579365079365078,0.572573514731468,0.5634031959172526,0.6153846153846153,0.5862068965517241,0.5161290322580646
custom_tree_depth10,100,1,10,344,73,0.5616438356164384,0.597979797979798,0.5579365079365078,0.572573514731468,0.5634031959172526,0.6153846153846153,0.5862068965517241,0.5161290322580646
custom_tree_depth12,100,1,12,344,73,0.5616438356164384,0.597979797979798,0.5579365079365078,0.572573514731468,0.5634031959172526,0.6153846153846153,0.5862068965517241,0.5161290322580646
gradient_boosting_5,180,5,2,344,73,0.5616438356164384,0.6408730158730158,0.5476190476190476,0.5711525189786059,0.5634306134603931,0.608695652173913,0.5714285714285714,0.5333333333333333
gradient_boosting_depth3_5,100,5,3,344,73,0.5753424657534246,0.6494623655913978,0.5484126984126985,0.5686687326031589,0.5724934047413275,0.5454545454545455,0.603174603174603,0.5573770491803278
extra_trees_10,150,10,8,344,73,0.6164383561643836,0.6336336336336336,0.5603174603174603,0.5658244083359882,0.6004191875496665,0.3809523809523809,0.689655172413793,0.626865671641791
random_forest_5,70,5,8,344,73,0.5616438356164384,0.5826617826617827,0.5555555555555555,0.5652421652421653,0.5609023143269719,0.5925925925925926,0.5185185185185186,0.5846153846153846
custom_tree_depth6,70,1,6,344,73,0.5753424657534246,0.596078431372549,0.5492063492063491,0.5594982078853046,0.5693769332744145,0.5,0.6451612903225806,0.5333333333333333
extra_trees_10,126,10,8,344,73,0.5753424657534246,0.5818181818181819,0.5476190476190476,0.5567213114754099,0.5715697282730744,0.48,0.5901639344262296,0.6
random_forest_5,231,5,8,344,73,0.6027397260273972,0.6225225225225225,0.5484126984126984,0.554330155462425,0.5871929239691279,0.3809523809523809,0.6551724137931035,0.626865671641791
random_forest_20,180,20,8,344,73,0.5616438356164384,0.6098339719029374,0.5373015873015873,0.5526206705969049,0.5578393616054753,0.5217391304347827,0.5937499999999999,0.5423728813559322
random_forest_10,180,10,8,344,73,0.6027397260273972,0.5948879551820728,0.5492063492063491,0.5513196480938416,0.5873137026473306,0.36363636363636365,0.6451612903225806,0.6451612903225806
sklearn_tree_depth8,100,1,8,344,73,0.5616438356164384,0.5699596774193548,0.5373015873015873,0.5459744990892532,0.5571375102926865,0.48,0.6333333333333334,0.5245901639344263
sklearn_tree_depth10,100,1,10,344,73,0.5616438356164384,0.5699596774193548,0.5373015873015873,0.5459744990892532,0.5571375102926865,0.48,0.6333333333333334,0.5245901639344263
sklearn_tree_depth12,100,1,12,344,73,0.5616438356164384,0.5699596774193548,0.5373015873015873,0.5459744990892532,0.5571375102926865,0.48,0.6333333333333334,0.5245901639344263
gradient_boosting_10,70,10,2,344,73,0.5753424657534246,0.5685685685685685,0.5396825396825397,0.5399685110211426,0.5615523265487217,0.4166666666666667,0.676923076923077,0.5263157894736842
random_forest_3,70,3,8,344,73,0.5342465753424658,0.5724137931034483,0.523015873015873,0.5391885964912281,0.5352649603460707,0.56,0.5263157894736843,0.53125
extra_trees_5,180,5,8,344,73,0.5205479452054794,0.6098197343453511,0.5126984126984127,0.5388759877068341,0.5251526855683595,0.608695652173913,0.5161290322580646,0.4918032786885246
random_forest_10,70,10,8,344,73,0.5616438356164384,0.6014530812324931,0.5246031746031746,0.538320707070707,0.554758198422582,0.4545454545454545,0.5666666666666667,0.59375
random_forest_20,70,20,8,344,73,0.547945205479452,0.5764705882352942,0.5253968253968254,0.5379928315412186,0.5446310207688908,0.5,0.5806451612903226,0.5333333333333333
extra_trees_5,150,5,8,344,73,0.589041095890411,0.556878306878307,0.5365079365079365,0.5375180375180376,0.576587795765878,0.33333333333333337,0.6428571428571429,0.6363636363636365
custom_tree_depth6,100,1,6,344,73,0.547945205479452,0.5755883962780515,0.5261904761904762,0.5372163931485966,0.5430565229729382,0.5,0.603174603174603,0.5084745762711865
