classifier,top_k,train_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1
rbf_svm,126,344,73,0.547945205479452,0.6038647342995169,0.48412698412698413,0.46980313646980315,0.5172569830104077,0.2222222222222222,0.5945945945945946,0.5925925925925926
rbf_svm,100,344,73,0.5753424657534246,0.5632183908045977,0.49444444444444446,0.46520438683948157,0.5329272456602795,0.11764705882352941,0.6,0.6779661016949153
rbf_svm,180,344,73,0.5342465753424658,0.7035024154589372,0.47301587301587295,0.46009307397238935,0.5030283583009185,0.23529411764705882,0.5789473684210527,0.5660377358490566
knn_5,100,344,73,0.4794520547945205,0.45645493042952207,0.45476190476190476,0.45365162374511686,0.4854212240507735,0.29411764705882354,0.49056603773584906,0.576271186440678
knn_3,150,344,73,0.4520547945205479,0.44045584045584046,0.44285714285714284,0.4383116883116884,0.4579790072940757,0.34285714285714286,0.43636363636363634,0.5357142857142857
rbf_svm,70,344,73,0.5342465753424658,0.4594017094017094,0.4587301587301587,0.43641441913240814,0.5016948422989594,0.10526315789473685,0.537313432835821,0.6666666666666666
knn_3,70,344,73,0.4520547945205479,0.45,0.43412698412698414,0.43464315791359825,0.46766650540235444,0.25641025641025644,0.5660377358490566,0.4814814814814815
rbf_svm,231,344,73,0.4931506849315068,0.6663817663817664,0.4373015873015873,0.4305187828556079,0.4681668876970942,0.23529411764705882,0.5205479452054794,0.5357142857142857
rbf_svm,150,344,73,0.5205479452054794,0.5321739130434783,0.45,0.42234426940309294,0.4809745647779491,0.11764705882352941,0.5675675675675675,0.5818181818181818
knn_5,70,344,73,0.4383561643835616,0.4337090713902308,0.42142857142857143,0.4213966288269693,0.45148931959229255,0.26315789473684204,0.5098039215686274,0.4912280701754386
