seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean
13,seed13_quad2_scenario1,quad2,state_machine_confirm_2,60,0.8,0.8094877999596691,0.7880520266182697,0.8275862068965517,0.6842105263157894,0.9166666666666666,4,7,3,0,4,4,1.0,1.75
13,seed13_quad2_scenario1,quad2,state_machine_confirm_3,60,0.5166666666666667,0.41746831577340054,0.39285387081997253,0.711864406779661,0.0,0.5405405405405406,4,2,0,2,4,2,0.5,7.25
13,seed13_quad2_scenario1,quad2,vote5_state_machine_confirm_2,60,0.5833333333333334,0.48271298593879236,0.4373200992555831,0.7384615384615384,0.0,0.7096774193548387,4,4,0,0,4,2,0.5,6.25
13,seed13_quad2_scenario1,quad2,vote5_state_machine_confirm_3,60,0.5666666666666667,0.47338935574229685,0.4252100840336134,0.7058823529411764,0.0,0.7142857142857143,4,2,0,2,4,2,0.5,6.5
13,seed13_quad2_scenario2,quad2,raw_prediction,60,0.6333333333333333,0.6290849673202614,0.6049019607843137,0.6666666666666665,0.47058823529411764,0.7499999999999999,4,24,20,0,4,4,1.0,0.5
13,seed13_quad2_scenario2,quad2,majority_vote_3,60,0.7166666666666667,0.7149546919661862,0.6949826673964605,0.7586206896551724,0.5714285714285715,0.8148148148148148,4,13,9,0,4,4,1.0,1.0
13,seed13_quad2_scenario2,quad2,majority_vote_5,60,0.65,0.6205357142857143,0.5732142857142857,0.71875,0.2857142857142857,0.8571428571428571,4,11,7,0,4,4,1.0,1.25
13,seed13_quad2_scenario2,quad2,majority_vote_7,60,0.55,0.47509578544061304,0.4183908045977011,0.6666666666666667,0.0,0.7586206896551724,4,6,2,0,4,2,0.5,6.25
13,seed13_quad2_scenario2,quad2,state_machine_confirm_2,60,0.7333333333333333,0.7400906599198819,0.704775458570525,0.7741935483870968,0.5294117647058825,0.9166666666666666,4,8,4,0,4,4,1.0,1.25
13,seed13_quad2_scenario2,quad2,state_machine_confirm_3,60,0.5666666666666667,0.47338935574229685,0.4252100840336134,0.7058823529411764,0.0,0.7142857142857143,4,2,0,2,4,2,0.5,6.5
13,seed13_quad2_scenario2,quad2,vote5_state_machine_confirm_2,60,0.5833333333333334,0.49719887955182074,0.4394957983193277,0.7058823529411764,0.0,0.7857142857142857,4,2,0,2,4,2,0.5,6.25
13,seed13_quad2_scenario2,quad2,vote5_state_machine_confirm_3,60,0.5666666666666667,0.47338935574229685,0.4252100840336134,0.7058823529411764,0.0,0.7142857142857143,4,2,0,2,4,2,0.5,6.5
13,seed13_quad2_scenario3,quad2,raw_prediction,60,0.6333333333333333,0.6290849673202614,0.6049019607843137,0.6666666666666665,0.47058823529411764,0.7499999999999999,4,25,21,0,4,4,1.0,1.0
13,seed13_quad2_scenario3,quad2,majority_vote_3,60,0.7,0.6912489133584468,0.6723558388872791,0.7586206896551724,0.5294117647058825,0.7857142857142857,4,14,10,0,4,4,1.0,1.5
13,seed13_quad2_scenario3,quad2,majority_vote_5,60,0.65,0.6127946127946128,0.5575757575757575,0.7272727272727273,0.2222222222222222,0.888888888888889,4,7,3,0,4,4,1.0,1.75
13,seed13_quad2_scenario3,quad2,majority_vote_7,60,0.6,0.5471849138515805,0.4994790394790395,0.7076923076923077,0.14814814814814814,0.7857142857142857,4,6,2,0,4,3,0.75,5.75
13,seed13_quad2_scenario3,quad2,state_machine_confirm_2,60,0.7333333333333333,0.7462962962962963,0.7122222222222222,0.7666666666666666,0.5555555555555556,0.9166666666666666,4,8,4,0,4,4,1.0,2.0
13,seed13_quad2_scenario3,quad2,state_machine_confirm_3,60,0.5666666666666667,0.47338935574229685,0.4252100840336134,0.7058823529411764,0.0,0.7142857142857143,4,2,0,2,4,2,0.5,6.5
13,seed13_quad2_scenario3,quad2,vote5_state_machine_confirm_2,60,0.5833333333333334,0.49719887955182074,0.4394957983193277,0.7058823529411764,0.0,0.7857142857142857,4,2,0,2,4,2,0.5,6.25
13,seed13_quad2_scenario3,quad2,vote5_state_machine_confirm_3,60,0.5666666666666667,0.47338935574229685,0.4252100840336134,0.7058823529411764,0.0,0.7142857142857143,4,2,0,2,4,2,0.5,6.5
13,seed13_quad3_scenario1,quad3,raw_prediction,60,0.7166666666666667,0.6746466490836546,0.7192533982552243,0.6666666666666666,0.9056603773584906,0.4516129032258065,4,34,30,0,4,4,1.0,0.25
13,seed13_quad3_scenario1,quad3,majority_vote_3,60,0.7333333333333333,0.6961520254277406,0.7321566240616758,0.6666666666666666,0.9056603773584906,0.5161290322580646,4,27,23,0,4,4,1.0,0.75
13,seed13_quad3_scenario1,quad3,majority_vote_5,60,0.7,0.6650548905570207,0.694840062216812,0.611111111111111,0.8679245283018867,0.5161290322580646,4,24,20,0,4,4,1.0,2.0
13,seed13_quad3_scenario1,quad3,majority_vote_7,60,0.65,0.6127713920817369,0.6387739463601533,0.5555555555555556,0.7999999999999999,0.4827586206896552,4,22,18,0,4,4,1.0,3.0
13,seed13_quad3_scenario1,quad3,state_machine_confirm_2,60,0.5,0.3854166666666667,0.375,0.0,0.71875,0.4375,4,3,0,1,4,3,0.75,4.5
13,seed13_quad3_scenario1,quad3,state_machine_confirm_3,60,0.36666666666666664,0.20952380952380953,0.25142857142857145,0.0,0.6285714285714286,0.0,4,1,0,3,4,2,0.5,6.5
13,seed13_quad3_scenario1,quad3,vote5_state_machine_confirm_2,60,0.4666666666666667,0.3716397849462365,0.35846774193548386,0.0,0.6774193548387096,0.4375,4,4,0,0,4,3,0.75,5.0
13,seed13_quad3_scenario1,quad3,vote5_state_machine_confirm_3,60,0.4166666666666667,0.321935987509758,0.31775175644028103,0.0,0.6229508196721311,0.3428571428571428,4,3,0,1,4,3,0.75,5.75
13,seed13_quad3_scenario2,quad3,raw_prediction,60,0.7333333333333333,0.6965811965811964,0.7358974358974358,0.6666666666666666,0.923076923076923,0.5,4,30,26,0,4,4,1.0,0.25
13,seed13_quad3_scenario2,quad3,majority_vote_3,60,0.7,0.6620680327314533,0.7041590586325827,0.6666666666666666,0.8679245283018867,0.4516129032258065,4,27,23,0,4,4,1.0,0.75
13,seed13_quad3_scenario2,quad3,majority_vote_5,60,0.6166666666666667,0.5740740740740741,0.6222222222222221,0.611111111111111,0.7777777777777777,0.33333333333333337,4,26,22,0,4,4,1.0,2.25
13,seed13_quad3_scenario2,quad3,majority_vote_7,60,0.5333333333333333,0.4828042328042328,0.5365079365079365,0.5555555555555556,0.6785714285714286,0.21428571428571427,4,22,18,0,4,4,1.0,4.75
13,seed13_quad3_scenario2,quad3,state_machine_confirm_2,60,0.5,0.3934218848829855,0.377988614800759,0.0,0.7096774193548387,0.4705882352941177,4,5,1,0,4,3,0.75,3.75
13,seed13_quad3_scenario2,quad3,state_machine_confirm_3,60,0.38333333333333336,0.26964433416046313,0.28486352357320094,0.0,0.6153846153846153,0.1935483870967742,4,3,0,1,4,3,0.75,6.25
13,seed13_quad3_scenario2,quad3,vote5_state_machine_confirm_2,60,0.38333333333333336,0.28707970643454517,0.2928827444956477,0.0,0.6031746031746031,0.2580645161290323,4,6,2,0,4,3,0.75,5.25
13,seed13_quad3_scenario2,quad3,vote5_state_machine_confirm_3,60,0.3,0.19791666666666666,0.225,0.0,0.53125,0.0625,4,3,0,1,4,3,0.75,7.5
13,seed13_quad3_scenario3,quad3,raw_prediction,60,0.7,0.6518518518518519,0.7022222222222223,0.6666666666666666,0.888888888888889,0.4,4,30,26,0,4,4,1.0,0.5
13,seed13_quad3_scenario3,quad3,majority_vote_3,60,0.7166666666666667,0.674074074074074,0.7155555555555556,0.6666666666666666,0.888888888888889,0.4666666666666666,4,25,21,0,4,4,1.0,0.75
13,seed13_quad3_scenario3,quad3,majority_vote_5,60,0.6666666666666666,0.6204226169743411,0.6617485196795541,0.611111111111111,0.8363636363636364,0.41379310344827586,4,24,20,0,4,4,1.0,2.0
13,seed13_quad3_scenario3,quad3,majority_vote_7,60,0.6333333333333333,0.58994708994709,0.6222222222222221,0.5555555555555556,0.7857142857142857,0.42857142857142855,4,22,18,0,4,4,1.0,3.0
13,seed13_quad3_scenario3,quad3,state_machine_confirm_2,60,0.5166666666666667,0.40500240500240503,0.389033189033189,0.0,0.7301587301587301,0.4848484848484849,4,3,0,1,4,3,0.75,3.75
13,seed13_quad3_scenario3,quad3,state_machine_confirm_3,60,0.45,0.33316790736145574,0.3352853598014888,0.0,0.676923076923077,0.3225806451612903,4,3,0,1,4,3,0.75,5.0
13,seed13_quad3_scenario3,quad3,vote5_state_machine_confirm_2,60,0.4666666666666667,0.3625,0.3549999999999999,0.0,0.6874999999999999,0.4,4,4,0,0,4,3,0.75,4.75
13,seed13_quad3_scenario3,quad3,vote5_state_machine_confirm_3,60,0.45,0.3434343434343434,0.3393939393939394,0.0,0.6666666666666667,0.36363636363636365,4,3,0,1,4,3,0.75,5.25
13,seed13_quad5_scenario1,quad5,raw_prediction,60,0.9666666666666667,0.9563636363636364,0.9658181818181819,0.9600000000000001,1.0,0.9090909090909091,4,8,4,0,4,4,1.0,0.0
13,seed13_quad5_scenario1,quad5,majority_vote_3,60,0.95,0.9512101942226167,0.950147885241053,0.9583333333333334,0.9387755102040817,0.9565217391304348,4,4,0,0,4,4,1.0,0.75
13,seed13_quad5_scenario1,quad5,majority_vote_5,60,0.8833333333333333,0.8811249137336093,0.8834368530020704,0.9166666666666666,0.8571428571428572,0.8695652173913043,4,4,0,0,4,4,1.0,1.75
13,seed13_quad5_scenario1,quad5,majority_vote_7,60,0.8166666666666667,0.8110396332446022,0.8167258207630879,0.875,0.7755102040816326,0.7826086956521738,4,4,0,0,4,4,1.0,2.75
13,seed13_quad5_scenario1,quad5,state_machine_confirm_2,60,0.9333333333333333,0.9305555555555555,0.9333333333333333,0.9583333333333334,0.9166666666666666,0.9166666666666666,4,4,0,0,4,4,1.0,1.0
13,seed13_quad5_scenario1,quad5,state_machine_confirm_3,60,0.8666666666666667,0.8611111111111112,0.8666666666666667,0.9166666666666666,0.8333333333333334,0.8333333333333334,4,4,0,0,4,4,1.0,2.0
13,seed13_quad5_scenario1,quad5,vote5_state_machine_confirm_2,60,0.8166666666666667,0.8110396332446022,0.8167258207630879,0.875,0.7755102040816326,0.7826086956521738,4,4,0,0,4,4,1.0,2.75
13,seed13_quad5_scenario1,quad5,vote5_state_machine_confirm_3,60,0.75,0.740954352755595,0.7500147885241053,0.8333333333333334,0.6938775510204083,0.6956521739130435,4,4,0,0,4,4,1.0,3.75
13,seed13_quad5_scenario2,quad5,raw_prediction,60,0.9666666666666667,0.9563636363636364,0.9658181818181819,0.9600000000000001,1.0,0.9090909090909091,4,7,3,0,4,4,1.0,0.25
13,seed13_quad5_scenario2,quad5,majority_vote_3,60,0.9333333333333333,0.9305555555555555,0.9333333333333333,0.9583333333333334,0.9166666666666666,0.9166666666666666,4,4,0,0,4,4,1.0,1.0
13,seed13_quad5_scenario2,quad5,majority_vote_5,60,0.8666666666666667,0.8611111111111112,0.8666666666666667,0.9166666666666666,0.8333333333333334,0.8333333333333334,4,4,0,0,4,4,1.0,2.0
13,seed13_quad5_scenario2,quad5,majority_vote_7,60,0.8166666666666667,0.8110396332446022,0.8167258207630879,0.875,0.7755102040816326,0.7826086956521738,4,4,0,0,4,4,1.0,2.75
13,seed13_quad5_scenario2,quad5,state_machine_confirm_2,60,0.9166666666666666,0.9086192447993691,0.916430050280982,0.9583333333333334,0.8979591836734694,0.8695652173913043,4,4,0,0,4,4,1.0,1.25
