selected_by_policy,model_name,family,top_k,top_k_sort,parameters_json,accuracy_mean,macro_f1_mean,weighted_f1_mean,roc_auc_ovr_macro_mean,roc_auc_ovr_weighted_mean,average_precision_macro_mean,average_precision_weighted_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,fit_time_ms_mean,prediction_time_ms_mean,prediction_time_us_per_window_mean,actual_tree_count_mean,actual_node_count_mean,actual_max_depth_mean,used_feature_count_mean,mean_comparisons_per_prediction_mean,selected_feature_count_mean,selected_subcarrier_count_mean,train_windows_mean,test_windows_mean,accuracy_std,macro_f1_std,weighted_f1_std,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_std,average_precision_macro_std,average_precision_weighted_std,empty_f1_std,static_presence_f1_std,movement_f1_std,fit_time_ms_std,prediction_time_ms_std,prediction_time_us_per_window_std,actual_tree_count_std,actual_node_count_std,actual_max_depth_std,used_feature_count_std,mean_comparisons_per_prediction_std,selected_feature_count_std,selected_subcarrier_count_std,train_windows_std,test_windows_std
False,gradient_boosting_depth2_10_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 10}",0.8543307086614174,0.8509347764410585,0.8508457860895172,0.9429787107242052,0.9429332453702336,0.8895341805259068,0.8894462355509493,0.8498659517426274,0.7615894039735099,0.9413489736070382,3458.820400002878,4.202299998723902,4.136122045988093,30.0,210.0,2.0,22.0,60.0,100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_10_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 10}",0.8543307086614174,0.8506282495383313,0.8505394614563444,0.9429411069564341,0.942892383365136,0.8871459522467068,0.8870473474436842,0.8474114441416893,0.7636363636363637,0.9408369408369408,4895.797099998163,3.8645999993605074,3.803740156850893,30.0,450.0,3.0,53.0,90.0,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_5_topall,gradient_boosting,all,1100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 5}",0.8533464566929134,0.8503922740321835,0.8503049333227837,0.943879509174533,0.9438343269902533,0.8899028618441026,0.8898119255958867,0.844566712517194,0.767479674796748,0.9391304347826087,21395.02309999807,10.721999999077525,10.553149605391265,15.0,225.0,3.0,51.0,45.0,1100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_10_top100,gradient_boosting,100,100,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 10}",0.8523622047244095,0.8500617015708819,0.8499657762123008,0.9373967352022943,0.9373435703120345,0.8746547021951647,0.8745449365128177,0.8354080221300139,0.7672552166934189,0.9475218658892128,3944.7536999978183,3.6920999991707504,3.633956692097195,30.0,450.0,3.0,46.0,90.0,100.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,random_forest_3_top160,random_forest,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 3}",0.8513779527559056,0.8493112332779132,0.8492163938076204,0.9304511762021116,0.9303986655553299,0.8520715452517228,0.8519516725571471,0.837465564738292,0.7648,0.9456681350954479,116.49469999974826,3.296399998362176,3.2444881873643467,3.0,475.0,8.0,110.0,22.864,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,extra_trees_10_top160,extra_trees,160,160,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5, ""n_estimators"": 10}",0.8523622047244095,0.8486367551919001,0.8485356111356446,0.9508899347815482,0.9508495008436751,0.903927448253001,0.9038478182263301,0.8363636363636363,0.758147512864494,0.9513991163475699,73.96789999984321,7.5294000016583595,7.410826773285787,10.0,1900.0,8.0,159.0,78.408,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth2_5_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 5}",0.8503937007874016,0.8470753934640175,0.8469853136433836,0.941603324234949,0.9415564063698617,0.8853328112072226,0.8852385540027392,0.844804318488529,0.7578253706754531,0.9385964912280702,2126.0443000028317,4.732499997771811,4.6579724387517825,15.0,105.0,2.0,20.0,30.0,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,tree_depth6_top126,decision_tree,126,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",0.8484251968503937,0.8468001830905058,0.8467100096267294,0.9102361280276501,0.9101818454434286,0.8429986555364924,0.8429029311443568,0.8305555555555556,0.7714285714285715,0.9384164222873901,442.9106999996293,1.1106999991170596,1.0932086605482871,1.0,71.0,6.0,28.0,5.95,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_5_top160,gradient_boosting,160,160,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 5}",0.8503937007874016,0.8465668117140769,0.8464671470730901,0.9356281560082566,0.9355752325180179,0.87826162408241,0.8781611877649038,0.8360215053763441,0.7558528428093646,0.9478260869565217,3101.353400001244,3.27119999928982,3.2196850386710825,15.0,225.0,3.0,43.0,45.0,160.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,gradient_boosting_depth3_5_top126,gradient_boosting,126,126,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 5}",0.8494094488188977,0.8458849110752121,0.8457844268551948,0.9373105174674636,0.937258317836821,0.8769265752307301,0.8768213044760557,0.8326530612244898,0.7570247933884298,0.9479768786127167,2471.3269999992917,3.249800000048708,3.1986220472920355,15.0,225.0,3.0,39.0,45.0,126.0,100.0,4023.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
