seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,true_class,predicted_class,count
42,100,25,240,60,4023,1016,100,160,random_forest_100_top160,random_forest,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,8
42,100,25,240,60,4023,1016,100,160,random_forest_100_top160,random_forest,160,160,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,327
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,314
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,25
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,52
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,278
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,9
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,4
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,static_presence,6
42,100,25,240,60,4023,1016,100,1100,random_forest_100_topall,random_forest,all,1100,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,movement,328
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,empty,296
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,static_presence,43
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",empty,movement,0
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,empty,143
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,static_presence,167
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",static_presence,movement,29
42,100,25,240,60,4023,1016,100,70,extra_trees_100_top70,extra_trees,70,70,"{""class_weight"": ""balanced"", ""n_estimators"": 100}",movement,empty,2
