family,top_k,feature_index,selected_runs,mean_rank,mean_fisher_score,selection_rate
gradient_boosting,126,422,10,47.5,0.2916751516841589,1.0
gradient_boosting,126,430,10,66.3,0.25447351671965335,1.0
gradient_boosting,126,433,10,70.7,0.2470711395906821,1.0
gradient_boosting,126,441,10,82.6,0.22285399409809353,1.0
gradient_boosting,126,444,10,84.2,0.2170499806544456,1.0
gradient_boosting,126,452,10,92.6,0.20603343492091514,1.0
gradient_boosting,126,455,10,91.1,0.20747150812305803,1.0
gradient_boosting,126,463,5,113.6,0.1932448930171704,0.5
gradient_boosting,126,466,10,108.7,0.18932782381227203,1.0
gradient_boosting,126,474,5,114.6,0.19243089815195286,0.5
gradient_boosting,126,477,7,116.0,0.17806332545107476,0.7
gradient_boosting,126,496,1,98.0,0.2649002308689647,0.1
gradient_boosting,126,499,1,100.0,0.26339371857879407,0.1
gradient_boosting,126,685,4,108.25,0.18422189269714476,0.4
gradient_boosting,126,696,7,103.28571428571429,0.18749471199692344,0.7
gradient_boosting,126,707,3,118.33333333333333,0.1689157558088927,0.3
gradient_boosting,126,727,1,117.0,0.16699302951419326,0.1
gradient_boosting,126,730,3,114.66666666666667,0.18256150935729068,0.3
gradient_boosting,126,738,10,101.6,0.1969528290070478,1.0
gradient_boosting,126,740,9,98.66666666666667,0.19326233876634916,0.9
gradient_boosting,126,741,10,87.1,0.21260271929798677,1.0
gradient_boosting,126,749,10,87.6,0.21216597209598084,1.0
gradient_boosting,126,751,9,99.0,0.1913819342526663,0.9
gradient_boosting,126,752,10,74.9,0.23734587739418248,1.0
gradient_boosting,126,760,10,81.8,0.22357244206932628,1.0
gradient_boosting,126,762,5,110.0,0.18215962055367516,0.5
gradient_boosting,126,763,10,71.8,0.24313660057641454,1.0
gradient_boosting,126,771,10,64.4,0.26041339458552665,1.0
gradient_boosting,126,773,10,84.0,0.21940044874910192,1.0
gradient_boosting,126,774,10,57.9,0.27342492981161914,1.0
gradient_boosting,126,782,10,37.6,0.30560485768593487,1.0
gradient_boosting,126,783,1,124.0,0.16663059340893632,0.1
gradient_boosting,126,784,10,86.7,0.21594255964930512,1.0
gradient_boosting,126,785,10,28.1,0.3203619361891583,1.0
gradient_boosting,126,787,3,102.66666666666667,0.19352803376545566,0.3
gradient_boosting,126,793,10,29.5,0.316682806151639,1.0
gradient_boosting,126,795,10,88.5,0.21478847140509738,1.0
gradient_boosting,126,796,10,19.7,0.33116917458966405,1.0
gradient_boosting,126,798,2,117.0,0.17444062042133957,0.2
gradient_boosting,126,804,10,16.5,0.3478834970637393,1.0
gradient_boosting,126,805,1,99.0,0.1808039475375768,0.1
gradient_boosting,126,806,9,99.55555555555556,0.20152031952645202,0.9
gradient_boosting,126,807,10,11.9,0.3564958379620765,1.0
gradient_boosting,126,809,3,120.0,0.17889431667343283,0.3
gradient_boosting,126,815,10,13.7,0.36150724787489674,1.0
gradient_boosting,126,816,4,116.25,0.16939975083527184,0.4
gradient_boosting,126,817,9,91.22222222222223,0.20246163450609683,0.9
gradient_boosting,126,818,10,9.4,0.3668193337367763,1.0
gradient_boosting,126,820,3,96.0,0.19956920463716124,0.3
gradient_boosting,126,821,2,121.5,0.17060818225611274,0.2
gradient_boosting,126,823,1,126.0,0.1731224133323837,0.1
gradient_boosting,126,826,10,5.6,0.3678249633544985,1.0
gradient_boosting,126,827,7,105.0,0.1852630602418938,0.7
gradient_boosting,126,828,10,85.1,0.21825319462705073,1.0
gradient_boosting,126,829,10,5.3,0.37111892259280505,1.0
gradient_boosting,126,831,10,89.2,0.21118553262800144,1.0
gradient_boosting,126,832,4,113.5,0.1710025490800563,0.4
gradient_boosting,126,834,5,112.2,0.1788972932872457,0.5
gradient_boosting,126,837,10,13.2,0.3445835308528554,1.0
gradient_boosting,126,838,5,110.8,0.18159277630678156,0.5
gradient_boosting,126,839,7,97.85714285714286,0.20318314575740337,0.7
gradient_boosting,126,840,10,8.3,0.354942049170775,1.0
gradient_boosting,126,842,7,103.85714285714286,0.1950552947944357,0.7
gradient_boosting,126,843,1,120.0,0.16416213552741651,0.1
