source_file,file_name,session,quadrant,label,evaluation_count,mean_window_count,accuracy_mean,accuracy_std,mean_confidence
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p007_20260719_004535.bin,static_presence_session_02_quad1_p007_20260719_004535.bin,session_02,quad1,static_presence,2,17.0,0.5882352941176471,0.08318903308077032,0.47911764705882354
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\static_presence\static_presence_session_02_quad3_p011_20260719_003511.bin,static_presence_session_02_quad3_p011_20260719_003511.bin,session_02,quad3,static_presence,2,17.0,0.5882352941176471,0.08318903308077032,0.6094117647058823
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\empty\empty_session_02_quad2_p014_20260719_012725.bin,empty_session_02_quad2_p014_20260719_012725.bin,session_02,quad2,empty,3,17.0,0.6078431372549019,0.1480359693190343,0.5754901960784314
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad3\empty\empty_session_02_quad3_p005_20260719_003257.bin,empty_session_02_quad3_p005_20260719_003257.bin,session_02,quad3,empty,2,17.0,0.6176470588235294,0.12478354962115547,0.586764705882353
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad5\static_presence\static_presence_session_01_quad5_p015_20260718_174524.bin,static_presence_session_01_quad5_p015_20260718_174524.bin,session_01,quad5,static_presence,3,16.0,0.625,0.0,0.7902083333333333
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad2\empty\empty_session_02_quad2_p027_20260719_013215.bin,empty_session_02_quad2_p027_20260719_013215.bin,session_02,quad2,empty,4,17.0,0.6323529411764706,0.08823529411764706,0.5608823529411765
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad5\static_presence\static_presence_session_01_quad5_p007_20260718_174201.bin,static_presence_session_01_quad5_p007_20260718_174201.bin,session_01,quad5,static_presence,2,17.0,0.6470588235294117,0.1663780661615406,0.5438235294117647
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\movement\movement_session_02_quad4_p004_20260719_005705.bin,movement_session_02_quad4_p004_20260719_005705.bin,session_02,quad4,movement,4,17.0,0.6764705882352942,0.03396178054056623,0.6301470588235294
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\static_presence\static_presence_session_02_quad5_p015_20260719_011621.bin,static_presence_session_02_quad5_p015_20260719_011621.bin,session_02,quad5,static_presence,3,17.0,0.6862745098039215,0.06792356108113236,0.5111764705882353
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\movement\movement_session_01_quad1_p026_20260718_162622.bin,movement_session_01_quad1_p026_20260718_162622.bin,session_01,quad1,movement,2,16.0,0.6875,0.1767766952966369,0.573125
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\static_presence\static_presence_session_01_quad1_p007_20260718_161742.bin,static_presence_session_01_quad1_p007_20260718_161742.bin,session_01,quad1,static_presence,1,10.0,0.7,0.0,0.549
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\empty\empty_session_02_quad4_p014_20260719_010853.bin,empty_session_02_quad4_p014_20260719_010853.bin,session_02,quad4,empty,1,17.0,0.7058823529411765,0.0,0.58
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p015_20260719_004834.bin,static_presence_session_02_quad1_p015_20260719_004834.bin,session_02,quad1,static_presence,2,17.0,0.7058823529411765,0.0,0.5800000000000001
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\movement\movement_session_01_quad4_p022_20260718_173525.bin,movement_session_01_quad4_p022_20260718_173525.bin,session_01,quad4,movement,4,17.0,0.7058823529411765,0.048029210642807414,0.7272058823529411
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad1\movement\movement_session_01_quad1_p008_20260718_161810.bin,movement_session_01_quad1_p008_20260718_161810.bin,session_01,quad1,movement,2,16.0,0.71875,0.04419417382415922,0.795
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad2\static_presence\static_presence_session_01_quad2_p006_20260718_163657.bin,static_presence_session_01_quad2_p006_20260718_163657.bin,session_01,quad2,static_presence,2,10.0,0.75,0.07071067811865482,0.5660000000000001
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad3\movement\movement_session_01_quad3_p004_20260718_165057.bin,movement_session_01_quad3_p004_20260718_165057.bin,session_01,quad3,movement,1,17.0,0.7647058823529411,0.0,0.8747058823529411
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p024_20260719_005155.bin,static_presence_session_02_quad1_p024_20260719_005155.bin,session_02,quad1,static_presence,1,17.0,0.7647058823529411,0.0,0.8099999999999999
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad4\static_presence\static_presence_session_02_quad4_p006_20260719_005749.bin,static_presence_session_02_quad4_p006_20260719_005749.bin,session_02,quad4,static_presence,1,17.0,0.7647058823529411,0.0,0.7064705882352941
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad3\static_presence\static_presence_session_01_quad3_p024_20260718_165924.bin,static_presence_session_01_quad3_p024_20260718_165924.bin,session_01,quad3,static_presence,2,17.0,0.7647058823529411,0.0,0.6670588235294118
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad1\static_presence\static_presence_session_02_quad1_p011_20260719_004705.bin,static_presence_session_02_quad1_p011_20260719_004705.bin,session_02,quad1,static_presence,2,17.0,0.7647058823529411,0.0,0.695
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_01\quad4\movement\movement_session_01_quad4_p008_20260718_172929.bin,movement_session_01_quad4_p008_20260718_172929.bin,session_01,quad4,movement,3,17.0,0.7647058823529411,0.0,0.7676470588235293
C:\Users\Brazza\Documents\UFOP\TCC\Algoritmos\Tools\datasets\raw_bin\session_02\quad5\empty\empty_session_02_quad5_p028_20260719_012111.bin,empty_session_02_quad5_p028_20260719_012111.bin,session_02,quad5,empty,3,17.0,0.7647058823529411,0.11764705882352941,0.6007843137254901
