selected_by_policy,family,top_k,parameters_json,accuracy_mean,macro_f1_mean,weighted_f1_mean,roc_auc_ovr_macro_mean,roc_auc_ovr_weighted_mean,average_precision_macro_mean,average_precision_weighted_mean,empty_f1_mean,static_presence_f1_mean,movement_f1_mean,fit_time_ms_mean,prediction_time_ms_mean,prediction_time_us_per_window_mean,actual_tree_count_mean,actual_node_count_mean,actual_max_depth_mean,used_feature_count_mean,mean_comparisons_per_prediction_mean,selected_feature_count_mean,selected_subcarrier_count_mean,train_windows_mean,test_windows_mean,accuracy_std,macro_f1_std,weighted_f1_std,roc_auc_ovr_macro_std,roc_auc_ovr_weighted_std,average_precision_macro_std,average_precision_weighted_std,empty_f1_std,static_presence_f1_std,movement_f1_std,fit_time_ms_std,prediction_time_ms_std,prediction_time_us_per_window_std,actual_tree_count_std,actual_node_count_std,actual_max_depth_std,used_feature_count_std,mean_comparisons_per_prediction_std,selected_feature_count_std,selected_subcarrier_count_std,train_windows_std,test_windows_std,model_name,source_experiment,top_k_sort
False,logistic_regression,all,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.8092852046082744,0.8089267846922179,0.8089554584764455,0.9219455420112302,0.921962318081981,0.8507794108703154,0.8506713038292908,0.7853801827882374,0.714589769552091,0.9268104017363252,1292.6956611109847,8.09694444514106,8.007103943845914,0.0,0.0,0.0,1079.8333333333333,3239.5,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.004460112964035706,0.00467861069890133,0.004612824879302057,0.0027778270485193817,0.002797419294147009,0.004132143514720116,0.0041667356383929,0.004700607834711987,0.006676059494001162,0.004900894246465822,129.13137212808343,0.06575319480780858,0.07064376256252178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676504347335073,1.676504347335073,logistic_regression_c0_1_all,professor_suggestions_comparison,1000000000
False,decision_tree,126,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_split"": 5}",0.8059637360984192,0.8034649542199205,0.8036429770251473,0.8866833871105001,0.8867960786777751,0.7903162926158205,0.7904097761822977,0.807347692221497,0.7022301950570465,0.900816975381218,359.741109999959,1.0024799994425848,0.9914780443891005,1.0,83.4,6.0,31.2,5.9382,126.0,98.0,4028.0,1011.0,0.03261252402287467,0.03260669965867341,0.032428220241429676,0.023108957696224702,0.023033492059323715,0.040272675130662385,0.04016933317763882,0.04301394839389389,0.050377368117666695,0.029907890713542017,5.04280234587649,0.05988675625125479,0.05745272830350364,0.0,7.472616676907761,0.0,2.638181191654583,0.04362063731767355,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,tree_depth6_top126,classifier_stability_validation,126
False,logistic_regression,all,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.797469238354595,0.7974578439129344,0.7974806411899129,0.9177125402457244,0.9177388406256938,0.8424325640961062,0.8423232955315952,0.7684529962150785,0.7055248990306189,0.9183956364931061,1530.0912916666978,7.698105555391521,7.612552176313559,0.0,0.0,0.0,1079.8333333333333,3239.5,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.005150107513210235,0.005330106039366698,0.005258957621409224,0.003110865946373499,0.003116326895721835,0.004947819748076045,0.004960480839644954,0.005788488755592669,0.008726988018141937,0.004878181412349137,73.46899318934577,0.058510585098378344,0.05841927723229001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676504347335073,1.676504347335073,logistic_regression_c1_all,professor_suggestions_comparison,1000000000
False,logistic_regression,all,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.7974131736090332,0.7974056416615412,0.7974297488652375,0.9176858561895257,0.9177122790643515,0.8422715031595888,0.8421619776432167,0.768248206059286,0.7054188413781967,0.9185498775471411,2090.9837277775096,7.675230555428748,7.589840904578392,0.0,0.0,0.0,1079.8333333333333,3239.5,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.004749807459926298,0.004983687638020662,0.0049001377638278115,0.0031524365279495792,0.0031567526216420873,0.005046123607586478,0.005057894300751334,0.004449003183246753,0.008584152641268201,0.004371518259433112,101.9952088179041,0.09506105047047891,0.08818994372929127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676504347335073,1.676504347335073,logistic_regression_c1_balanced_all,professor_suggestions_comparison,1000000000
False,decision_tree,160,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_split"": 5}",0.7864981040740024,0.782523589895816,0.7827490868531525,0.8450394886748223,0.845202458157492,0.7345831686782924,0.7347015317020958,0.7954921107539963,0.6682666225482969,0.8838120363851549,577.6679599999625,0.9425399992323946,0.9323588113254397,1.0,174.0,8.0,63.2,7.734999999999999,160.0,98.0,4028.0,1011.0,0.03327086887277169,0.03475489383427149,0.03461996359259852,0.026542264498247557,0.02645877156928113,0.039064199640646724,0.03896923086070351,0.050041858995758776,0.060313635092286835,0.02530706531363539,25.654495831748303,0.0943998742359453,0.09413989824339697,0.0,15.80506248010428,0.0,4.975942121849893,0.09572564964522325,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,tree_depth8_top160,classifier_stability_validation,160
False,logistic_regression,all,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.7815129922194984,0.7817230213977512,0.7817390907935141,0.9111709569761969,0.9111978279994787,0.8304517589676365,0.8303239881841963,0.747282816384342,0.6887985069988288,0.9090877408100826,2049.3644555560118,7.880508333477741,7.792637865823079,0.0,0.0,0.0,1079.8333333333333,3239.5,1079.8333333333333,98.16666666666667,4027.75,1011.25,0.007565458903594561,0.007617356046182934,0.007521194911259015,0.004120391576191231,0.0040711401931520855,0.005842280133707793,0.00577291818343868,0.006328825917661727,0.010979423526260869,0.006759942018430633,74.49102678808639,0.11308413230749594,0.10735256131522758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676504347335073,1.676504347335073,logistic_regression_c10_all,professor_suggestions_comparison,1000000000
False,gradient_boosting,70,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.7568741182710225,0.7433264833771002,0.7436369094980199,0.8903664892644965,0.8904990666677246,0.7933042500315116,0.7933992759435105,0.7694107847226399,0.562650240225502,0.8979184251831585,5588.237059999665,4.217459999927087,4.1710721527584385,60.0,898.6,3.0,56.8,179.99960000000002,70.0,98.0,4028.0,1011.0,0.06060392012202576,0.06865413244642661,0.06860957982057095,0.04082109623699606,0.04085627635363192,0.07908640396954138,0.07913346029418358,0.05652745671969464,0.13374672865284395,0.03614603043481131,36.20593417360157,0.6971314047500189,0.684574858014229,0.0,2.009975124224176,0.0,4.1182520563948,0.0008000000000021154,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_20_top70,feature_budget_comparison,70
False,xgboost,70,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.7555780075301882,0.7369470174509913,0.7373020559663785,0.8921456938835561,0.8922682302437085,0.7957904010990026,0.7958874770860527,0.7729213930880846,0.5387615066640831,0.8991581526008062,298.54990000021644,4.054690000339178,4.011066120036306,60.0,894.0,3.0,48.7,179.61856582224885,70.0,98.0,4028.0,1011.0,0.06156268675285714,0.07221566986549256,0.07211313322610868,0.04064809146310942,0.040679119060682556,0.08115972028975899,0.08117837461681886,0.05563601520273191,0.1466040120406214,0.0357181882705698,9.523007821825338,0.16923955479756544,0.17858431654522833,0.0,7.797435475847168,0.0,4.69148164229596,0.4986581182101285,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,xgboost_depth3_20_top70,feature_budget_comparison,70
False,gradient_boosting,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.7111535682197856,0.6924034268712738,0.6927977417917297,0.8587246817819653,0.8588980442176387,0.7259500374903295,0.7261373943681276,0.7183448481106267,0.46347736305377224,0.8953880694494225,2488.376590000189,3.6702000001241686,3.6303631426181453,60.0,899.8,3.0,29.7,179.9998,30.0,98.0,4028.0,1011.0,0.03239190411678547,0.03722882899441356,0.03723144628965891,0.0256462453056556,0.025680821889222397,0.04533519636405906,0.04536138671266979,0.024175311635002122,0.06831323998605095,0.03458810545553675,22.88157644004744,0.14125338873492607,0.14164960232370088,0.0,0.5999999999999925,0.0,0.4582575694955841,0.0006000000000019081,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_20_top30,feature_budget_comparison,30
False,gradient_boosting,50,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.7082960495490233,0.6895359454625078,0.6899091710726074,0.8582113429565961,0.8583808816553292,0.7234040277622171,0.7235684832991285,0.7149343373341781,0.45811306569012455,0.8955604333632208,4049.949839999317,3.995770000256016,3.9519923825349665,60.0,899.4,3.0,45.5,179.9998,50.0,98.0,4028.0,1011.0,0.03029524084122622,0.03563030810732156,0.03571403777849829,0.026420512891118842,0.0264932319839519,0.04629058132017445,0.04641720536390404,0.01964452618781023,0.06688498988398396,0.036412655902518215,40.97616707743586,0.5840104738953384,0.5744950789613992,0.0,0.9165151389911637,0.0,1.857417562100671,0.0006000000000019081,0.0,3.098386676965933,3.2557641192199553,3.2557641192199447,gradient_boosting_depth3_20_top50,feature_budget_comparison,50
