seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,model_name,family,top_k,top_k_sort,parameters_json,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_f1,static_presence_f1,movement_f1,fit_time_ms,prediction_time_ms,prediction_time_us_per_window,test_samples,actual_tree_count,actual_node_count,actual_max_depth,used_feature_count,mean_comparisons_per_prediction
42,100,25,240,60,4023,1016,100,1100,logistic_regression_c1_all,logistic_regression,all,1100,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.8503937007874016,0.8502938485207988,0.850205086373205,0.9369487740342369,0.9369065649339976,0.8686310597307486,0.8685215521205841,0.8262108262108262,0.78419452887538,0.9404761904761905,1418.4034000027168,7.5537999982771,7.434842517989272,1016,0,0,0,1100,3300.0
42,100,25,240,60,4023,1016,100,1100,logistic_regression_c10_all,logistic_regression,all,1100,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.8395669291338582,0.8393966099326816,0.8393072724943762,0.9337288874997282,0.9336861828371963,0.8629859715442424,0.8628751642624752,0.8148148148148148,0.7732115677321156,0.9301634472511144,1381.009200002154,8.287399999971967,8.156889763751936,1016,0,0,0,1100,3300.0
42,100,25,240,60,4023,1016,100,1100,logistic_regression_c1_balanced_all,logistic_regression,all,1100,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 20000}",0.8513779527559056,0.8512482768070367,0.8511604540573624,0.9371085438536292,0.9370664834172137,0.8689015787197457,0.8687923162750492,0.8278805120910384,0.7853881278538812,0.9404761904761905,1408.6699999970733,7.286199997906806,7.171456690853155,1016,0,0,0,1100,3300.0
42,100,25,240,60,4023,1016,100,1100,xgboost_depth2_10_all,xgboost,all,1100,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 10, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8572834645669292,0.854711171473329,0.8546245375106719,0.9522985108607167,0.9522628971432655,0.9083477016395483,0.9082727185793126,0.8463611859838275,0.7750410509031199,0.9427312775330396,2382.7596999981324,17.59669999955804,17.319586613738227,1016,30,210,2,40,60.0
42,100,25,240,60,4023,1016,100,1100,xgboost_depth2_20_all,xgboost,all,1100,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8700787401574803,0.8675675242571065,0.8674833592427083,0.9552223993221748,0.9551864014197609,0.9159998887676214,0.9159291819168567,0.8594594594594595,0.7901639344262295,0.9530791788856305,3582.0870000025025,18.311999996512895,18.023622043811905,1016,60,420,2,64,120.0
42,100,25,240,60,4023,1016,100,1100,xgboost_depth3_20_all,xgboost,all,1100,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 20, ""reg_lambda"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}",0.8809055118110236,0.8786951075206576,0.8786202557312611,0.9513115344235702,0.9512707165819904,0.8986908033917435,0.8986019566804202,0.8715846994535519,0.8097560975609757,0.9547445255474453,5137.8498999984,18.316599998797756,18.0281496051159,1016,60,900,3,154,180.0
84,100,25,240,60,4025,1014,105,1155,gradient_boosting_depth3_20_all,gradient_boosting,all,1155,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 20}",0.8471400394477318,0.842876062852774,0.8428754433374306,0.9430034822444466,0.9430202184646227,0.8938683441447713,0.8937428899535139,0.8426666666666667,0.7487352445193929,0.9372262773722628,89105.39770000105,13.84699999834993,13.655818538806637,1014,60,900,3,175,180.0
84,100,25,240,60,4025,1014,105,1155,logistic_regression_c0_1_all,logistic_regression,all,1155,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 20000}",0.8185404339250493,0.8192281989946212,0.8191424856963969,0.9202462911449595,0.9202047883981285,0.8421837159358788,0.8418306264032411,0.790257104194858,0.7304075235109718,0.9370199692780338,1392.8458000009414,7.93350000094506,7.8239644979734315,1014,0,0,0,1155,3465.0
84,100,25,240,60,4025,1014,105,1155,logistic_regression_c1_all,logistic_regression,all,1155,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 20000}",0.8175542406311637,0.8193584201426649,0.819259476571112,0.917215892795893,0.9171823228812639,0.8387660080711704,0.8384172848947848,0.7859154929577464,0.7384155455904334,0.9337442218798151,1409.45819999979,7.407600001897663,7.305325445658444,1014,0,0,0,1155,3465.0
84,100,25,240,60,4025,1014,105,1155,logistic_regression_c10_all,logistic_regression,all,1155,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 20000}",0.7928994082840237,0.7951962243987466,0.7950541027020317,0.9121254995123156,0.9120868107551742,0.8284288864121123,0.8280732791961569,0.7471590909090909,0.7091988130563798,0.9292307692307692,1717.7494000025035,7.57549999980256,7.4709072976356605,1014,0,0,0,1155,3465.0
