seed,classifier,label,precision,recall,f1,support,roc_auc,average_precision
168,logistic_regression_c10,movement,0.6060606060606061,0.6666666666666666,0.6349206349206349,30,0.8093137254901961,0.7414074693220883
168,logistic_regression_c1_balanced,empty,0.7,0.7,0.7,40,0.8616379310344828,0.7704136799852338
168,logistic_regression_c1_balanced,static_presence,0.5357142857142857,0.5357142857142857,0.5357142857142857,28,0.7464285714285716,0.5813330502842179
168,logistic_regression_c1_balanced,movement,0.6333333333333333,0.6333333333333333,0.6333333333333333,30,0.8313725490196078,0.7654009501093352
168,xgboost_depth2_10,empty,0.9473684210526315,0.9,0.9230769230769231,40,0.9616379310344828,0.927759991345363
168,xgboost_depth2_10,static_presence,0.6666666666666666,0.7142857142857143,0.6896551724137931,28,0.8525510204081633,0.7455686408271345
168,xgboost_depth2_10,movement,0.6666666666666666,0.6666666666666666,0.6666666666666666,30,0.8931372549019608,0.7664584775718457
168,xgboost_depth2_20,empty,0.9024390243902439,0.925,0.9135802469135802,40,0.9771551724137931,0.9672408582195351
168,xgboost_depth2_20,static_presence,0.6785714285714286,0.6785714285714286,0.6785714285714286,28,0.875,0.7729590327573964
168,xgboost_depth2_20,movement,0.7241379310344828,0.7,0.711864406779661,30,0.9098039215686274,0.7786917118315485
168,xgboost_depth3_20,empty,0.9230769230769231,0.9,0.9113924050632911,40,0.9767241379310344,0.9685670787531291
168,xgboost_depth3_20,static_presence,0.6470588235294118,0.7857142857142857,0.7096774193548387,28,0.8979591836734694,0.8003192361280423
168,xgboost_depth3_20,movement,0.84,0.7,0.7636363636363637,30,0.9338235294117647,0.8834944786810622
210,gradient_boosting_depth3_20,empty,0.5,0.5625,0.5294117647058824,16,0.8650793650793651,0.6620605306219821
210,gradient_boosting_depth3_20,static_presence,0.5277777777777778,0.6129032258064516,0.5671641791044776,31,0.7143817204301075,0.6345051095529266
210,gradient_boosting_depth3_20,movement,0.68,0.53125,0.5964912280701754,32,0.7287234042553192,0.701185549409069
210,logistic_regression_c0_1,empty,0.3684210526315789,0.4375,0.4,16,0.6964285714285714,0.4852971413373089
210,logistic_regression_c0_1,static_presence,0.5675675675675675,0.6774193548387096,0.6176470588235294,31,0.7224462365591398,0.6464274484578487
210,logistic_regression_c0_1,movement,0.6086956521739131,0.4375,0.509090909090909,32,0.6668882978723405,0.6111695196088318
210,logistic_regression_c1,empty,0.5294117647058824,0.5625,0.5454545454545454,16,0.7271825396825398,0.5035585712251694
210,logistic_regression_c1,static_presence,0.47368421052631576,0.5806451612903226,0.5217391304347826,31,0.6686827956989247,0.5585239475923783
210,logistic_regression_c1,movement,0.5,0.375,0.42857142857142855,32,0.6456117021276596,0.5635066446394291
210,logistic_regression_c10,empty,0.5294117647058824,0.5625,0.5454545454545454,16,0.7261904761904762,0.5142191471606968
210,logistic_regression_c10,static_presence,0.4634146341463415,0.6129032258064516,0.5277777777777778,31,0.6391129032258065,0.5077153477896277
210,logistic_regression_c10,movement,0.42857142857142855,0.28125,0.33962264150943394,32,0.603058510638298,0.5254306451493013
210,logistic_regression_c1_balanced,empty,0.5,0.5625,0.5294117647058824,16,0.7291666666666667,0.5074648212251694
210,logistic_regression_c1_balanced,static_presence,0.5,0.6129032258064516,0.5507246376811594,31,0.668010752688172,0.5517251622215562
210,logistic_regression_c1_balanced,movement,0.5217391304347826,0.375,0.43636363636363634,32,0.6456117021276596,0.5641808455129343
210,xgboost_depth2_10,empty,0.3684210526315789,0.4375,0.4,16,0.7961309523809523,0.5612053008337838
210,xgboost_depth2_10,static_presence,0.5294117647058824,0.5806451612903226,0.5538461538461539,31,0.6928763440860215,0.6559828714238057
210,xgboost_depth2_10,movement,0.5384615384615384,0.4375,0.4827586206896552,32,0.6559175531914894,0.618048407157618
210,xgboost_depth2_20,empty,0.4,0.5,0.4444444444444444,16,0.8293650793650794,0.5765440361679217
210,xgboost_depth2_20,static_presence,0.5277777777777778,0.6129032258064516,0.5671641791044776,31,0.7103494623655914,0.6457470967369171
210,xgboost_depth2_20,movement,0.6521739130434783,0.46875,0.5454545454545454,32,0.6981382978723405,0.6569585172060832
210,xgboost_depth3_20,empty,0.3888888888888889,0.4375,0.4117647058823529,16,0.8521825396825397,0.5895626011292393
210,xgboost_depth3_20,static_presence,0.5714285714285714,0.6451612903225806,0.6060606060606061,31,0.7244623655913978,0.6589924793863424
210,xgboost_depth3_20,movement,0.6538461538461539,0.53125,0.5862068965517241,32,0.7353723404255319,0.7005306441161796
336,gradient_boosting_depth3_20,empty,0.6470588235294118,0.6470588235294118,0.6470588235294118,17,0.8658410732714138,0.5665488356755886
336,gradient_boosting_depth3_20,static_presence,0.7272727272727273,0.5714285714285714,0.64,28,0.7197204968944099,0.6863418429304982
336,gradient_boosting_depth3_20,movement,0.6,0.7241379310344828,0.65625,29,0.7639846743295019,0.7247254444067497
336,logistic_regression_c0_1,empty,0.5555555555555556,0.5882352941176471,0.5714285714285714,17,0.7770897832817337,0.523336153480046
336,logistic_regression_c0_1,static_presence,0.5862068965517241,0.6071428571428571,0.5964912280701754,28,0.7220496894409939,0.6207269873255672
336,logistic_regression_c0_1,movement,0.7407407407407407,0.6896551724137931,0.7142857142857143,29,0.8337164750957854,0.8015218500392154
336,logistic_regression_c1,empty,0.55,0.6470588235294118,0.5945945945945946,17,0.8183694530443757,0.5205668553819736
