seed,classifier,family,top_k,estimated_model_units,max_depth,n_estimators,c,class_weight,train_samples,test_samples,accuracy,macro_f1,weighted_f1,empty_precision,empty_recall,empty_f1,empty_support,static_presence_precision,static_presence_recall,static_presence_f1,static_presence_support,movement_precision,movement_recall,movement_f1,movement_support,roc_auc_ovr_macro,roc_auc_ovr_weighted,average_precision_macro,average_precision_weighted,empty_roc_auc,empty_average_precision,static_presence_roc_auc,static_presence_average_precision,movement_roc_auc,movement_average_precision,fit_time_ms,prediction_time_ms
21,logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,342,75,0.6133333333333333,0.621763005943797,0.607249056966571,0.5909090909090909,0.8666666666666667,0.7027027027027027,15,0.56,0.4827586206896552,0.5185185185185185,29,0.6785714285714286,0.6129032258064516,0.6440677966101694,31,0.7859218549734582,0.7668739569609134,0.6917907362859633,0.6912809664904151,0.8855555555555555,0.7059288431091499,0.7031484257871065,0.5978022490335219,0.7690615835777127,0.771641116715218,96.47219999999379,5.816600000002836
21,xgboost_depth2_10,xgboost,231,10,2,10,,,342,75,0.6133333333333333,0.5748696371417269,0.6020334448160535,0.625,0.3333333333333333,0.43478260869565216,15,0.6111111111111112,0.7586206896551724,0.676923076923077,29,0.6129032258064516,0.6129032258064516,0.6129032258064516,31,0.7939541535846609,0.7732771190162496,0.6652284329204216,0.669949085251087,0.893888888888889,0.6468758463758464,0.7698650674662669,0.6350246628770697,0.718108504398827,0.7137847895083487,229.87139999997908,4.503199999987828
21,xgboost_depth2_20,xgboost,231,20,2,20,,,342,75,0.68,0.685588736436194,0.6791247421755896,0.7692307692307693,0.6666666666666666,0.7142857142857143,15,0.6470588235294118,0.7586206896551724,0.6984126984126984,29,0.6785714285714286,0.6129032258064516,0.6440677966101694,31,0.8125505901334117,0.7927940272288099,0.7056139436243996,0.7081994223658367,0.9077777777777778,0.6980689198080502,0.7916041979010494,0.669018681351306,0.7382697947214076,0.7497542297138424,363.34909999999354,4.394600000011906
21,xgboost_depth3_20,xgboost,231,20,3,20,,,342,75,0.6933333333333334,0.6999999999999998,0.6928888888888888,0.7333333333333333,0.7333333333333333,0.7333333333333333,15,0.6774193548387096,0.7241379310344828,0.7,29,0.6896551724137931,0.6451612903225806,0.6666666666666666,31,0.8212750174277476,0.7983003952569171,0.7271264382184377,0.722060368955729,0.9333333333333333,0.7535291251957918,0.7863568215892055,0.7058825397511822,0.7441348973607038,0.721967649708339,695.0989999999706,5.037099999981365
42,gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,344,73,0.7123287671232876,0.7367003367003365,0.7142026922848841,0.9230769230769231,0.8,0.8571428571428571,15,0.6666666666666666,0.6428571428571429,0.6545454545454545,28,0.6666666666666666,0.7333333333333333,0.6984126984126984,30,0.8445564593118723,0.8191879689336601,0.7554793609962256,0.7365389935009321,0.9758620689655172,0.850252291568081,0.7857142857142857,0.7360057952855208,0.772093023255814,0.6801799961350748,1543.780799999979,5.987900000036461
42,logistic_regression_c0_1,logistic_regression,231,1,,,0.1,,344,73,0.6164383561643836,0.6071884692574346,0.6186952186007453,0.5714285714285714,0.5333333333333333,0.5517241379310345,15,0.5428571428571428,0.6785714285714286,0.6031746031746031,28,0.75,0.6,0.6666666666666666,30,0.8086593008405357,0.7965258477270869,0.6807856394112092,0.6854385607606971,0.8770114942528735,0.6593365763043153,0.7388888888888889,0.6718219834566089,0.8100775193798451,0.7111983584727037,76.5395999999896,6.881299999974999
42,logistic_regression_c1,logistic_regression,231,1,,,1.0,,344,73,0.6301369863013698,0.6390432098765433,0.6301560121765601,0.6470588235294118,0.7333333333333333,0.6875,15,0.5625,0.6428571428571429,0.6,28,0.7083333333333334,0.5666666666666667,0.6296296296296297,30,0.8223191744843709,0.805933387771443,0.7346101934450565,0.7311499218755435,0.9114942528735632,0.7486170992380421,0.7515873015873016,0.75585831228489,0.8038759689922481,0.6993551688122378,102.10680000000139,6.043399999953181
42,logistic_regression_c10,logistic_regression,231,1,,,10.0,,344,73,0.6164383561643836,0.6341818907856643,0.6146578214295971,0.7333333333333333,0.7333333333333333,0.7333333333333333,15,0.5428571428571428,0.6785714285714286,0.6031746031746031,28,0.6521739130434783,0.5,0.5660377358490566,30,0.8156044347704331,0.7948237413628325,0.7109249733018747,0.6982233833183469,0.9264367816091954,0.7730967745502414,0.7428571428571429,0.7082444983378952,0.7775193798449613,0.6514336470174877,135.7960999999932,6.365099999982249
42,logistic_regression_c1_balanced,logistic_regression,231,1,,,1.0,balanced,344,73,0.6301369863013698,0.6390432098765433,0.6301560121765601,0.6470588235294118,0.7333333333333333,0.6875,15,0.5625,0.6428571428571429,0.6,28,0.7083333333333334,0.5666666666666667,0.6296296296296297,30,0.8238880190764714,0.8078023481622255,0.7339656168987392,0.7311464470789888,0.9114942528735632,0.744648845269788,0.753968253968254,0.7567411025367611,0.8062015503875969,0.7005069028896685,160.05150000000867,5.712099999982456
42,xgboost_depth2_10,xgboost,231,10,2,10,,,344,73,0.6164383561643836,0.6087570621468926,0.6123945515053014,0.7777777777777778,0.4666666666666667,0.5833333333333334,15,0.6,0.75,0.6666666666666666,28,0.5862068965517241,0.5666666666666667,0.576271186440678,30,0.8467280202645077,0.8228976941920882,0.78783995439557,0.7690275267816986,0.9632183908045977,0.8753391053391053,0.8428571428571427,0.8182499302253636,0.7341085271317829,0.669930827622241,223.57340000002068,4.684399999973721
42,xgboost_depth2_20,xgboost,231,20,2,20,,,344,73,0.684931506849315,0.7025827280064568,0.6852466085110618,0.8461538461538461,0.7333333333333333,0.7857142857142857,15,0.6774193548387096,0.75,0.711864406779661,28,0.6206896551724138,0.6,0.6101694915254238,30,0.8740524348383211,0.8528813749650608,0.8298398672026296,0.8102494693244753,0.9770114942528736,0.9221684633449339,0.8746031746031746,0.8524249186879801,0.7705426356589147,0.7149262195749748,381.7384999999831,7.667099999991933
42,xgboost_depth3_20,xgboost,231,20,3,20,,,344,73,0.6986301369863014,0.720891308731599,0.6994919987735043,0.8571428571428571,0.8,0.8275862068965517,15,0.6896551724137931,0.7142857142857143,0.7017543859649122,28,0.6333333333333333,0.6333333333333333,0.6333333333333333,30,0.8584528795034009,0.8354043006106588,0.7854990946065917,0.7732559101276748,0.9747126436781609,0.8453360637184166,0.8277777777777778,0.7835980597483687,0.7728682170542636,0.7275631603529898,717.6559000000111,7.218199999954322
84,gradient_boosting_depth3_20,gradient_boosting,231,20,3,20,,,325,92,0.6195652173913043,0.6194815396700707,0.6203797943918851,0.75,0.5454545454545454,0.631578947368421,33,0.5833333333333334,0.6774193548387096,0.6268656716417911,31,0.5625,0.6428571428571429,0.6,28,0.83500282086709,0.8378348227768583,0.7422564910272994,0.7454036935773536,0.9013867488443761,0.8084888899343285,0.8112109994711793,0.728383371050577,0.7924107142857143,0.6898972120969928,1433.766500000047,5.364600000007158
