seed,classifier,true_label,predicted_label,count,normalized_by_true_class
21,gradient_boosting_depth3_20,movement,static_presence,10,0.3225806451612903
21,gradient_boosting_depth3_20,movement,movement,20,0.6451612903225806
21,logistic_regression_c0_1,empty,empty,7,0.4666666666666667
21,logistic_regression_c0_1,empty,static_presence,6,0.4
21,logistic_regression_c0_1,empty,movement,2,0.13333333333333333
21,logistic_regression_c0_1,static_presence,empty,6,0.20689655172413793
21,logistic_regression_c0_1,static_presence,static_presence,14,0.4827586206896552
21,logistic_regression_c0_1,static_presence,movement,9,0.3103448275862069
21,logistic_regression_c0_1,movement,empty,7,0.22580645161290322
21,logistic_regression_c0_1,movement,static_presence,6,0.1935483870967742
21,logistic_regression_c0_1,movement,movement,18,0.5806451612903226
21,logistic_regression_c1,empty,empty,13,0.8666666666666667
21,logistic_regression_c1,empty,static_presence,1,0.06666666666666667
21,logistic_regression_c1,empty,movement,1,0.06666666666666667
21,logistic_regression_c1,static_presence,empty,7,0.2413793103448276
21,logistic_regression_c1,static_presence,static_presence,14,0.4827586206896552
21,logistic_regression_c1,static_presence,movement,8,0.27586206896551724
21,logistic_regression_c1,movement,empty,2,0.06451612903225806
21,logistic_regression_c1,movement,static_presence,10,0.3225806451612903
21,logistic_regression_c1,movement,movement,19,0.6129032258064516
21,logistic_regression_c10,empty,empty,13,0.8666666666666667
21,logistic_regression_c10,empty,static_presence,1,0.06666666666666667
21,logistic_regression_c10,empty,movement,1,0.06666666666666667
21,logistic_regression_c10,static_presence,empty,6,0.20689655172413793
21,logistic_regression_c10,static_presence,static_presence,14,0.4827586206896552
21,logistic_regression_c10,static_presence,movement,9,0.3103448275862069
21,logistic_regression_c10,movement,empty,2,0.06451612903225806
21,logistic_regression_c10,movement,static_presence,9,0.2903225806451613
21,logistic_regression_c10,movement,movement,20,0.6451612903225806
21,logistic_regression_c1_balanced,empty,empty,13,0.8666666666666667
21,logistic_regression_c1_balanced,empty,static_presence,1,0.06666666666666667
21,logistic_regression_c1_balanced,empty,movement,1,0.06666666666666667
21,logistic_regression_c1_balanced,static_presence,empty,7,0.2413793103448276
21,logistic_regression_c1_balanced,static_presence,static_presence,14,0.4827586206896552
21,logistic_regression_c1_balanced,static_presence,movement,8,0.27586206896551724
21,logistic_regression_c1_balanced,movement,empty,2,0.06451612903225806
21,logistic_regression_c1_balanced,movement,static_presence,10,0.3225806451612903
21,logistic_regression_c1_balanced,movement,movement,19,0.6129032258064516
21,xgboost_depth2_10,empty,empty,5,0.3333333333333333
21,xgboost_depth2_10,empty,static_presence,3,0.2
21,xgboost_depth2_10,empty,movement,7,0.4666666666666667
21,xgboost_depth2_10,static_presence,empty,2,0.06896551724137931
21,xgboost_depth2_10,static_presence,static_presence,22,0.7586206896551724
21,xgboost_depth2_10,static_presence,movement,5,0.1724137931034483
