stage,subcarrier,mean,variance,std,min,max,informative
clean_amplitude,173,34.390316936249754,142.51887563779363,11.938126973599905,1.4142135623730951,82.97590011563598,True
clean_amplitude,174,34.77624853117034,141.8297878948561,11.909231205029824,1.0,84.29116205154607,True
clean_amplitude,175,35.1238132012888,142.15582594059373,11.922911806291017,1.0,80.2807573457052,True
clean_amplitude,176,36.017669955776775,144.62655592011927,12.026078160402886,1.0,80.05623023850174,True
clean_amplitude,177,36.55581424955248,147.05039410469456,12.126433692751325,1.0,79.05694150420949,True
clean_amplitude,178,36.369551636969135,139.80860225309328,11.824068768959917,1.4142135623730951,76.21679604916491,True
clean_amplitude,179,37.88268796115261,145.361269355431,12.0565861401738,1.4142135623730951,77.4919350642375,True
clean_amplitude,180,38.320783908486355,145.61312682298043,12.067026428370017,1.0,82.13403679352427,True
clean_amplitude,181,39.50345389077044,148.1329484377683,12.170987981169331,2.23606797749979,84.43340571124678,True
clean_amplitude,182,41.102333680839244,153.90736045598828,12.405940530890364,3.605551275463989,83.54639429682169,True
clean_amplitude,183,41.16359286812818,149.52241388756056,12.227935798308746,4.47213595499958,81.49846624323675,True
clean_amplitude,184,42.12328773198636,153.7807868728569,12.400838152030568,2.8284271247461903,87.55569655939013,True
clean_amplitude,185,42.86808066147078,148.77395820471767,12.197293068739379,2.23606797749979,81.04319835741924,True
clean_amplitude,186,43.83350514291346,150.67752908308034,12.275077559147247,1.4142135623730951,83.21658488546619,True
clean_amplitude,187,51.16785866902753,171.32298129313955,13.089040503151464,4.242640687119285,84.30895563343196,True
clean_amplitude,188,52.63018480922552,167.5388300224342,12.94367915325601,5.385164807134504,87.23531395025755,True
clean_amplitude,189,53.48392686455049,162.15874534106908,12.73415664035389,8.06225774829855,87.84645695758026,True
clean_amplitude,190,54.319207492359496,160.2788642042658,12.66012891736359,4.47213595499958,87.69264507357501,True
clean_amplitude,191,0.0,0.0,0.0,0.0,0.0,False
hampel,0,0.0,0.0,0.0,0.0,0.0,False
hampel,1,0.0,0.0,0.0,0.0,0.0,False
hampel,2,0.0,0.0,0.0,0.0,0.0,False
hampel,3,0.0,0.0,0.0,0.0,0.0,False
hampel,4,0.0,0.0,0.0,0.0,0.0,False
hampel,5,0.0,0.0,0.0,0.0,0.0,False
hampel,6,4.76136231281743,2.690474557842107,1.6402666118171483,0.0,13.45362404707371,True
hampel,7,4.876643396945729,2.824126233541848,1.6805136814503618,0.0,13.45362404707371,True
hampel,8,5.111711585437566,3.008321672999466,1.7344514040466703,0.0,13.601470508735444,True
hampel,9,5.255753314541349,3.2922316897108335,1.8144507956158065,0.0,14.422205101855956,True
hampel,10,5.435512833545094,3.5359542082665856,1.8804133078306444,0.0,14.560219778561036,True
hampel,11,5.435035007784711,3.4693448303061447,1.8626177359582252,0.0,16.401219466856727,True
hampel,12,5.555936370109558,3.634825729894634,1.9065218933688208,0.0,14.7648230602334,True
hampel,13,5.775023564991233,3.9245300003625117,1.9810426548569093,0.0,14.7648230602334,True
hampel,14,5.918086698995898,4.13166072634119,2.032648697227632,0.0,16.97056274847714,True
hampel,15,6.182117894571423,4.4618493732562055,2.1123090146226726,0.0,16.0312195418814,True
hampel,16,6.229906097335043,4.652468553782298,2.156958171542114,0.0,15.620499351813308,True
hampel,17,6.348801083570914,4.799722360239812,2.1908268667879285,0.0,16.15549442140351,True
hampel,18,6.620857744800225,5.207547045352985,2.2820050493706154,0.0,16.278820596099706,True
hampel,19,6.816154724020971,5.463331750837022,2.337377109248104,0.0,17.69180601295413,True
hampel,20,7.011659744139043,5.7948957443649975,2.407258969110926,0.0,17.46424919657298,True
hampel,21,7.0129617386044965,5.842980988558194,2.417225886953512,0.0,17.08800749063506,True
hampel,22,7.094330732178222,5.834821188059413,2.415537453251225,0.0,17.08800749063506,True
hampel,23,7.303624346449487,6.339943509801793,2.5179244448159666,0.0,18.027756377319946,True
hampel,24,7.447634397390474,6.4753781724724275,2.5446764376777704,0.0,18.027756377319946,True
hampel,25,7.551827350661484,6.567340456389793,2.562682277690661,0.0,17.69180601295413,True
hampel,26,7.621836268865616,6.7133219687195975,2.591007905954669,0.0,17.204650534085253,True
hampel,27,7.682721746942205,6.83521325410445,2.614424076943993,0.0,18.027756377319946,True
hampel,28,7.660234581638917,6.793538867222995,2.6064418020019158,0.0,17.46424919657298,True
hampel,29,7.67244032354324,6.747166397859134,2.597530827123931,0.0,17.46424919657298,True
hampel,30,7.6041706991197024,6.69713296255687,2.587881945251149,0.0,16.492422502470642,True
hampel,31,7.512170022162623,6.452574137453563,2.540191752103286,0.0,16.492422502470642,True
hampel,32,0.0,0.0,0.0,0.0,0.0,False
hampel,33,7.49657139380668,6.572554547791796,2.5636993871731133,0.0,16.1245154965971,True
hampel,34,7.566486580502528,6.464849546722196,2.5426068407683866,0.0,15.652475842498529,True
hampel,35,7.40244993912917,6.207396412111553,2.491464712194727,0.0,15.652475842498529,True
hampel,36,7.299630145226314,6.031292321717162,2.455868954508192,0.0,15.652475842498529,True
hampel,37,7.319765393537674,6.148410775643307,2.4795989142688595,0.0,15.620499351813308,True
hampel,38,7.389741606958709,6.1248237934064225,2.474838134789106,0.0,15.297058540778355,True
hampel,39,7.353115580247776,6.013666627705719,2.4522778447202347,1.0,15.297058540778355,True
hampel,40,7.322724399984174,5.869564852261965,2.4227184839064493,0.0,15.297058540778355,True
hampel,41,7.26008191609728,5.698211579392777,2.387092704398549,0.0,15.132745950421556,True
hampel,42,7.323045936954471,5.684226846426008,2.384161665329348,0.0,15.297058540778355,True
hampel,43,7.298017791292056,5.5381610990671195,2.3533297896952563,0.0,15.132745950421556,True
hampel,44,7.4502310229123525,5.704391309790953,2.388386758837637,0.0,15.297058540778355,True
hampel,45,7.482250792003823,5.659535778804654,2.378977885312231,0.0,15.556349186104045,True
hampel,46,7.604480988388855,5.712947322018038,2.3901772574472457,0.0,15.620499351813308,True
hampel,47,7.686962398669554,5.712480521635763,2.390079605711024,0.0,15.811388300841896,True
hampel,48,7.736954729344821,5.539816703692491,2.3536815212964752,0.0,15.556349186104045,True
hampel,49,7.965276871380284,5.703239124216311,2.3881455408363017,1.0,16.492422502470642,True
hampel,50,7.91023927676374,5.347114173920607,2.312382791390865,1.0,15.231546211727817,True
hampel,51,8.23462133762062,5.487594013473257,2.3425614214942705,0.0,15.811388300841896,True
hampel,52,8.273726418935828,5.297281901316567,2.3015824776263325,1.0,15.811388300841896,True
hampel,53,8.6112562828797,5.428445865228208,2.3299025441481898,1.4142135623730951,15.811388300841896,True
hampel,54,8.914613873186314,5.5695293048512,2.3599850221667085,1.0,16.15549442140351,True
hampel,55,9.091254610673099,5.5805786193764915,2.362324833585866,0.0,17.08800749063506,True
hampel,56,9.176755266430456,5.462101754818761,2.3371139798518086,0.0,16.76305461424021,True
hampel,57,9.42241059946371,5.426477925546653,2.3294801835488217,0.0,16.278820596099706,True
hampel,58,9.54051974729478,5.244146092244381,2.290010063786703,0.0,16.278820596099706,True
hampel,59,0.0,0.0,0.0,0.0,0.0,False
hampel,60,0.0,0.0,0.0,0.0,0.0,False
hampel,61,0.0,0.0,0.0,0.0,0.0,False
hampel,62,0.0,0.0,0.0,0.0,0.0,False
hampel,63,0.0,0.0,0.0,0.0,0.0,False
hampel,64,0.0,0.0,0.0,0.0,0.0,False
hampel,65,0.0,0.0,0.0,0.0,0.0,False
hampel,66,57.63412709339089,124.13241864003228,11.141472911605192,12.206555615733702,87.66413177577246,True
hampel,67,56.11198479411726,142.89711789861386,11.953958252336916,8.06225774829855,91.0,True
hampel,68,57.567258950524305,112.68400855873432,10.615272420373126,10.198039027185569,88.14193099768123,True
hampel,69,57.39803526058227,109.82308907356372,10.479651190453035,10.44030650891055,88.95504482602435,True
hampel,70,50.10748830219681,98.60250806230185,9.92987955930493,7.0710678118654755,78.10249675906654,True
hampel,71,49.724245815587736,95.574638975669,9.77622825918406,6.708203932499369,80.95677859203639,True
hampel,72,49.93776157696422,93.14097260316939,9.650957082236424,6.4031242374328485,76.4198926981712,True
hampel,73,49.86940619583026,92.80717514639714,9.633648070507721,5.0,77.79460135510689,True
hampel,74,49.20519295798893,88.48730980759169,9.406769360816268,1.4142135623730951,72.91776189653656,True
hampel,75,48.81277271405465,88.72981882690361,9.419650674356433,1.0,76.21679604916491,True
hampel,76,48.879858262785284,87.64288058217569,9.361777640073262,0.0,78.92401408950256,True
hampel,77,49.06444568731993,88.02597899733529,9.382216102677196,1.0,72.2357252334328,True
hampel,78,49.18557932867072,87.1449374455966,9.335145282511494,0.0,72.11102550927978,True
hampel,79,48.36471378806307,88.2230525502392,9.392712736490944,3.0,72.91776189653656,True
hampel,80,48.46793876034495,87.68743081681481,9.364156706122277,4.123105625617661,71.17583859709698,True
hampel,81,48.29567256449193,89.3778894929134,9.453988020561132,2.23606797749979,70.3420215802759,True
hampel,82,48.217896185835926,87.6610130425284,9.36274602040066,2.23606797749979,71.16881339463234,True
hampel,83,48.37304928281634,89.86685799168973,9.479813183374961,2.0,73.16419889536138,True
hampel,84,49.21395576296592,94.07829807948796,9.699396789465206,4.0,71.19691004531025,True
hampel,85,49.2404441560737,91.33451674123451,9.556909371822803,3.0,71.00704190430693,True
hampel,86,49.810282570284826,97.12452128474133,9.855177384742566,4.0,71.56116265125938,True
hampel,87,50.18242145557237,100.55834577344284,10.027878428333823,4.0,73.53910524340094,True
hampel,88,50.21006568592157,103.74242340876435,10.185402466705199,2.8284271247461903,73.824115301167,True
hampel,89,51.04010015619646,106.59530012015095,10.324499993711607,2.23606797749979,76.4198926981712,True
hampel,90,51.41303232093506,112.6907790629288,10.615591319513426,2.8284271247461903,82.63776376451628,True
hampel,91,52.32622116181145,118.92212029482525,10.905141919976339,4.242640687119285,75.0,True
hampel,92,52.89461542876577,126.82421135375121,11.261625608843122,4.0,78.44743462982075,True
hampel,93,53.7657724949919,136.1047195794817,11.666392740666744,2.23606797749979,82.46211251235322,True
hampel,94,53.88559569936782,141.5480176401865,11.897395414131047,4.242640687119285,80.36168241145776,True
hampel,95,54.9426430735741,154.17313548984674,12.41664751411776,5.0990195135927845,85.14693182963201,True
hampel,96,64.7738899659551,195.8952218503596,13.996257422981316,2.23606797749979,83.16850365372699,True
hampel,97,57.49113269569326,171.96670367795912,13.11360757678676,2.0,87.00574693662483,True
hampel,98,57.40367914785033,174.604032007483,13.213781896470177,1.0,87.6184911990614,True
hampel,99,58.00574276821038,183.86889092136806,13.559826360295624,0.0,86.68333173107735,True
hampel,100,58.422642815509484,186.7571727274252,13.665912802569215,0.0,87.13208364316786,True
hampel,101,57.95514920825427,184.8772295405408,13.596956627883344,1.0,91.18113840043894,True
hampel,102,58.78111521425682,190.9143461530282,13.817175766162498,2.23606797749979,87.20665112249179,True
hampel,103,58.62477209849175,190.0546206767091,13.786029909901876,1.4142135623730951,90.4267659490264,True
hampel,104,58.60232183733679,192.32187927457088,13.868016414562353,2.0,89.49860334105779,True
hampel,105,58.68319710460276,189.07854751894817,13.750583533761327,1.4142135623730951,87.93179174792243,True
hampel,106,57.265873922709545,184.59785834183756,13.586679445023996,0.0,88.20430828479978,True
hampel,107,55.99525943060969,178.23168954275857,13.350344173194884,0.0,90.60905032059435,True
hampel,108,55.201790652628056,171.71715886216387,13.104089394618914,0.0,82.97590011563598,True
hampel,109,54.04054052625888,164.51641873384935,12.826395391295613,1.4142135623730951,94.2019108086455,True
hampel,110,53.0992136363467,157.37606324469806,12.544961667725337,1.0,83.60023923410746,True
