seed,classifier,family,top_k,label,precision,recall,f1,support,roc_auc,average_precision
42,gradient_boosting_top70,gradient_boosting,70,movement,0.5666666666666667,0.5666666666666667,0.5666666666666667,30,0.7062015503875969,0.6325916104753573
42,xgboost_top70,xgboost,70,empty,0.6363636363636364,0.4666666666666667,0.5384615384615384,15,0.903448275862069,0.6991147958795018
42,xgboost_top70,xgboost,70,static_presence,0.6176470588235294,0.75,0.6774193548387096,28,0.8246031746031746,0.76538066591191
42,xgboost_top70,xgboost,70,movement,0.6071428571428571,0.5666666666666667,0.5862068965517241,30,0.7410852713178295,0.6992611802371692
42,gradient_boosting_top100,gradient_boosting,100,empty,0.8571428571428571,0.4,0.5454545454545454,15,0.939080459770115,0.845657201345867
42,gradient_boosting_top100,gradient_boosting,100,static_presence,0.5428571428571428,0.6785714285714286,0.6031746031746031,28,0.734920634920635,0.6907872087745739
42,gradient_boosting_top100,gradient_boosting,100,movement,0.6129032258064516,0.6333333333333333,0.6229508196721312,30,0.7558139534883721,0.696449054609785
42,xgboost_top100,xgboost,100,empty,0.875,0.4666666666666667,0.6086956521739131,15,0.9321839080459771,0.8354472160081934
42,xgboost_top100,xgboost,100,static_presence,0.5882352941176471,0.7142857142857143,0.6451612903225806,28,0.7579365079365079,0.7140844323136937
42,xgboost_top100,xgboost,100,movement,0.5806451612903226,0.6,0.5901639344262295,30,0.7364341085271318,0.6763378289048578
42,gradient_boosting_top126,gradient_boosting,126,empty,0.9090909090909091,0.6666666666666666,0.7692307692307693,15,0.9862068965517241,0.9539404223227752
42,gradient_boosting_top126,gradient_boosting,126,static_presence,0.59375,0.6785714285714286,0.6333333333333333,28,0.7626984126984128,0.7238132277809018
42,gradient_boosting_top126,gradient_boosting,126,movement,0.6,0.6,0.6,30,0.7542635658914729,0.7122311285742053
42,xgboost_top126,xgboost,126,empty,0.8181818181818182,0.6,0.6923076923076923,15,0.9770114942528736,0.9165055315055315
42,xgboost_top126,xgboost,126,static_presence,0.5666666666666667,0.6071428571428571,0.5862068965517241,28,0.7817460317460317,0.748462022584274
42,xgboost_top126,xgboost,126,movement,0.53125,0.5666666666666667,0.5483870967741935,30,0.7596899224806202,0.7062610678803327
42,gradient_boosting_top160,gradient_boosting,160,empty,0.7,0.4666666666666667,0.56,15,0.9528735632183908,0.8299743138362063
42,gradient_boosting_top160,gradient_boosting,160,static_presence,0.6285714285714286,0.7857142857142857,0.6984126984126984,28,0.7499999999999999,0.6804527263307347
