top_k,feature_index,selection_count,selection_rate,mean_rank_when_selected,mean_fisher_score_when_selected
100,105,10,1.0,67.9,0.07668248263448262
100,217,10,1.0,68,0.07613723224623163
100,69,9,0.9,40,0.1066796790189029
100,223,9,0.9,48.55555555555556,0.09817831657587829
100,61,9,0.9,49,0.09054629981863227
100,91,9,0.9,50.888888888888886,0.09579172698420478
100,167,9,0.9,64.55555555555556,0.07723366739223662
100,80,9,0.9,69.33333333333333,0.08101631806545827
100,64,9,0.9,72,0.07450560588703357
100,83,9,0.9,72.44444444444444,0.07293595164021671
100,139,9,0.9,73.44444444444444,0.07408925420219192
100,108,9,0.9,76.22222222222223,0.07003200155678403
100,117,9,0.9,80,0.06755755910716846
100,168,9,0.9,83.33333333333333,0.06543226110131037
100,66,8,0.8,52.25,0.09564165214893268
100,31,8,0.8,58.625,0.08373282127884221
100,30,8,0.8,64.375,0.07707190416903424
100,203,8,0.8,65.125,0.07813443858301147
100,63,8,0.8,67,0.07585767188636842
100,165,8,0.8,73,0.06941475668167879
100,179,8,0.8,78,0.07104021753086039
100,122,8,0.8,81.125,0.06914536826974825
100,49,7,0.7,74.57142857142857,0.06741753664030749
100,171,7,0.7,75.14285714285714,0.07306856736896919
100,228,7,0.7,77.42857142857143,0.06669915139267327
100,125,7,0.7,77.85714285714286,0.07174242446147357
100,6,7,0.7,81.42857142857143,0.06526949839931814
100,8,7,0.7,82.71428571428571,0.06468114583256837
100,58,6,0.6,54.333333333333336,0.0903335314575281
100,55,6,0.6,68.33333333333333,0.08117647987077665
100,156,6,0.6,75.66666666666667,0.0717112384775554
100,177,6,0.6,80.83333333333333,0.07356238830826595
100,116,6,0.6,82.33333333333333,0.06776650231697282
100,89,6,0.6,82.5,0.06382684736423849
100,68,5,0.5,48.8,0.09239852388930322
100,212,5,0.5,54.4,0.09383126105348959
100,133,5,0.5,64.4,0.08042857388631627
100,220,5,0.5,65.2,0.0813187186311394
100,51,5,0.5,66.2,0.06990385505588884
100,17,5,0.5,66.6,0.06784895036727129
100,18,5,0.5,71.2,0.06518342867535605
100,183,5,0.5,71.8,0.08000641432384213
100,206,5,0.5,76.2,0.062242706318963566
100,180,5,0.5,77.8,0.07787480141883728
100,86,5,0.5,79.8,0.06658342943129367
100,128,5,0.5,80.8,0.07100594254887503
100,50,5,0.5,83,0.06035765005647166
100,19,5,0.5,84,0.058759399192541605
100,7,5,0.5,84.2,0.061952803823892434
100,159,5,0.5,89,0.058879783204709026
100,57,4,0.4,60.25,0.08681013712936494
100,136,4,0.4,64.5,0.08421158428653955
100,41,4,0.4,66,0.06473831521367189
100,169,4,0.4,66.5,0.08100584232851604
100,209,4,0.4,70.5,0.07875567928240762
100,189,4,0.4,75,0.07362053111563381
100,182,4,0.4,78.25,0.07953175269121232
100,42,4,0.4,82.5,0.0550879123780312
100,148,4,0.4,85.75,0.06336069789368064
100,154,4,0.4,86.25,0.06577370065465507
100,52,4,0.4,86.75,0.05300900452450345
100,92,4,0.4,88,0.06419018659413891
