classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
xgboost_top160,xgboost,160,empty,static_presence,29,0.11196911196911197
xgboost_top160,xgboost,160,empty,movement,32,0.12355212355212356
xgboost_top160,xgboost,160,static_presence,empty,34,0.11447811447811448
xgboost_top160,xgboost,160,static_presence,static_presence,195,0.6565656565656566
xgboost_top160,xgboost,160,static_presence,movement,68,0.22895622895622897
xgboost_top160,xgboost,160,movement,empty,26,0.08637873754152824
xgboost_top160,xgboost,160,movement,static_presence,82,0.2724252491694352
xgboost_top160,xgboost,160,movement,movement,193,0.6411960132890365
xgboost_top231,xgboost,231,empty,empty,207,0.7992277992277992
xgboost_top231,xgboost,231,empty,static_presence,21,0.08108108108108109
xgboost_top231,xgboost,231,empty,movement,31,0.11969111969111969
xgboost_top231,xgboost,231,static_presence,empty,29,0.09764309764309764
xgboost_top231,xgboost,231,static_presence,static_presence,206,0.6936026936026936
xgboost_top231,xgboost,231,static_presence,movement,62,0.20875420875420875
xgboost_top231,xgboost,231,movement,empty,31,0.10299003322259136
xgboost_top231,xgboost,231,movement,static_presence,87,0.28903654485049834
xgboost_top231,xgboost,231,movement,movement,183,0.6079734219269103
