seed,classifier,family,top_k,true_label,predicted_label,count,normalized_by_true_class
13,gradient_boosting_top50,gradient_boosting,50,static_presence,empty,7,0.21875
13,gradient_boosting_top50,gradient_boosting,50,static_presence,static_presence,21,0.65625
13,gradient_boosting_top50,gradient_boosting,50,static_presence,movement,4,0.125
13,gradient_boosting_top50,gradient_boosting,50,movement,empty,2,0.07407407407407407
13,gradient_boosting_top50,gradient_boosting,50,movement,static_presence,9,0.3333333333333333
13,gradient_boosting_top50,gradient_boosting,50,movement,movement,16,0.5925925925925926
13,xgboost_top50,xgboost,50,empty,empty,30,0.8108108108108109
13,xgboost_top50,xgboost,50,empty,static_presence,0,0.0
13,xgboost_top50,xgboost,50,empty,movement,7,0.1891891891891892
13,xgboost_top50,xgboost,50,static_presence,empty,6,0.1875
13,xgboost_top50,xgboost,50,static_presence,static_presence,21,0.65625
13,xgboost_top50,xgboost,50,static_presence,movement,5,0.15625
13,xgboost_top50,xgboost,50,movement,empty,1,0.037037037037037035
13,xgboost_top50,xgboost,50,movement,static_presence,12,0.4444444444444444
13,xgboost_top50,xgboost,50,movement,movement,14,0.5185185185185185
13,gradient_boosting_top70,gradient_boosting,70,empty,empty,35,0.9459459459459459
13,gradient_boosting_top70,gradient_boosting,70,empty,static_presence,0,0.0
13,gradient_boosting_top70,gradient_boosting,70,empty,movement,2,0.05405405405405406
13,gradient_boosting_top70,gradient_boosting,70,static_presence,empty,1,0.03125
13,gradient_boosting_top70,gradient_boosting,70,static_presence,static_presence,25,0.78125
13,gradient_boosting_top70,gradient_boosting,70,static_presence,movement,6,0.1875
13,gradient_boosting_top70,gradient_boosting,70,movement,empty,2,0.07407407407407407
13,gradient_boosting_top70,gradient_boosting,70,movement,static_presence,12,0.4444444444444444
13,gradient_boosting_top70,gradient_boosting,70,movement,movement,13,0.48148148148148145
13,xgboost_top70,xgboost,70,empty,empty,33,0.8918918918918919
13,xgboost_top70,xgboost,70,empty,static_presence,0,0.0
13,xgboost_top70,xgboost,70,empty,movement,4,0.10810810810810811
13,xgboost_top70,xgboost,70,static_presence,empty,4,0.125
13,xgboost_top70,xgboost,70,static_presence,static_presence,23,0.71875
13,xgboost_top70,xgboost,70,static_presence,movement,5,0.15625
13,xgboost_top70,xgboost,70,movement,empty,1,0.037037037037037035
13,xgboost_top70,xgboost,70,movement,static_presence,12,0.4444444444444444
13,xgboost_top70,xgboost,70,movement,movement,14,0.5185185185185185
13,gradient_boosting_top100,gradient_boosting,100,empty,empty,30,0.8108108108108109
13,gradient_boosting_top100,gradient_boosting,100,empty,static_presence,1,0.02702702702702703
13,gradient_boosting_top100,gradient_boosting,100,empty,movement,6,0.16216216216216217
13,gradient_boosting_top100,gradient_boosting,100,static_presence,empty,3,0.09375
13,gradient_boosting_top100,gradient_boosting,100,static_presence,static_presence,24,0.75
13,gradient_boosting_top100,gradient_boosting,100,static_presence,movement,5,0.15625
13,gradient_boosting_top100,gradient_boosting,100,movement,empty,1,0.037037037037037035
13,gradient_boosting_top100,gradient_boosting,100,movement,static_presence,11,0.4074074074074074
13,gradient_boosting_top100,gradient_boosting,100,movement,movement,15,0.5555555555555556
13,xgboost_top100,xgboost,100,empty,empty,28,0.7567567567567568
13,xgboost_top100,xgboost,100,empty,static_presence,2,0.05405405405405406
13,xgboost_top100,xgboost,100,empty,movement,7,0.1891891891891892
13,xgboost_top100,xgboost,100,static_presence,empty,5,0.15625
13,xgboost_top100,xgboost,100,static_presence,static_presence,23,0.71875
13,xgboost_top100,xgboost,100,static_presence,movement,4,0.125
13,xgboost_top100,xgboost,100,movement,empty,0,0.0
13,xgboost_top100,xgboost,100,movement,static_presence,12,0.4444444444444444
13,xgboost_top100,xgboost,100,movement,movement,15,0.5555555555555556
13,gradient_boosting_top126,gradient_boosting,126,empty,empty,30,0.8108108108108109
13,gradient_boosting_top126,gradient_boosting,126,empty,static_presence,2,0.05405405405405406
13,gradient_boosting_top126,gradient_boosting,126,empty,movement,5,0.13513513513513514
13,gradient_boosting_top126,gradient_boosting,126,static_presence,empty,5,0.15625
13,gradient_boosting_top126,gradient_boosting,126,static_presence,static_presence,22,0.6875
13,gradient_boosting_top126,gradient_boosting,126,static_presence,movement,5,0.15625
13,gradient_boosting_top126,gradient_boosting,126,movement,empty,0,0.0
13,gradient_boosting_top126,gradient_boosting,126,movement,static_presence,12,0.4444444444444444
13,gradient_boosting_top126,gradient_boosting,126,movement,movement,15,0.5555555555555556
13,xgboost_top126,xgboost,126,empty,empty,28,0.7567567567567568
13,xgboost_top126,xgboost,126,empty,static_presence,2,0.05405405405405406
13,xgboost_top126,xgboost,126,empty,movement,7,0.1891891891891892
13,xgboost_top126,xgboost,126,static_presence,empty,5,0.15625
13,xgboost_top126,xgboost,126,static_presence,static_presence,23,0.71875
13,xgboost_top126,xgboost,126,static_presence,movement,4,0.125
13,xgboost_top126,xgboost,126,movement,empty,0,0.0
13,xgboost_top126,xgboost,126,movement,static_presence,12,0.4444444444444444
13,xgboost_top126,xgboost,126,movement,movement,15,0.5555555555555556
13,gradient_boosting_top160,gradient_boosting,160,empty,empty,32,0.8648648648648649
13,gradient_boosting_top160,gradient_boosting,160,empty,static_presence,1,0.02702702702702703
13,gradient_boosting_top160,gradient_boosting,160,empty,movement,4,0.10810810810810811
13,gradient_boosting_top160,gradient_boosting,160,static_presence,empty,0,0.0
13,gradient_boosting_top160,gradient_boosting,160,static_presence,static_presence,26,0.8125
13,gradient_boosting_top160,gradient_boosting,160,static_presence,movement,6,0.1875
13,gradient_boosting_top160,gradient_boosting,160,movement,empty,0,0.0
13,gradient_boosting_top160,gradient_boosting,160,movement,static_presence,11,0.4074074074074074
13,gradient_boosting_top160,gradient_boosting,160,movement,movement,16,0.5925925925925926
13,xgboost_top160,xgboost,160,empty,empty,33,0.8918918918918919
13,xgboost_top160,xgboost,160,empty,static_presence,2,0.05405405405405406
