label,pc_timestamp,elapsed_s,packet_index,feature_type,window_size,mean_amplitude,std_amplitude,variance_amplitude,energy_amplitude,max_amplitude,min_amplitude,range_amplitude,num_subcarriers,rssi,rate,channel,csi_len
empty,2026-05-17T22:29:53.663,20.709409,11,packet,1,54.41598839634598,5.455785137276143,29.765591464123265,155525.0,63.52952069707436,38.897300677553446,24.632220019520915,52,-25,11,6,384
empty,2026-05-17T22:29:53.774,20.82091,12,packet,1,54.0375387200697,5.524611493479893,30.521332153890132,153430.0,64.81512169239521,41.773197148410844,23.041924543984365,52,-25,11,6,384
empty,2026-05-17T22:29:53.883,20.92996,13,packet,1,46.40231621838068,4.967011517558497,24.671203415558757,113248.0,54.67174773134658,32.31098884280702,22.360758888539557,52,-25,11,6,384
empty,2026-05-17T22:29:53.986,21.033302,14,packet,1,54.538399256617126,5.348034037315664,28.60146806428688,156158.0,62.76941930590086,41.773197148410844,20.996222157490017,52,-25,11,6,384
empty,2026-05-17T22:29:54.096,21.143224,15,packet,1,54.1372146965303,5.537326512116158,30.661984901784493,153998.0,63.071388124885914,41.23105625617661,21.840331868709306,52,-25,11,6,384
empty,2026-05-17T22:29:54.208,21.25524,16,packet,1,53.71794698318434,5.574448816170381,31.07447960410337,151668.0,61.84658438426491,40.049968789001575,21.796615595263333,52,-25,11,6,384
empty,2026-05-17T22:29:54.320,21.367224,17,packet,1,54.952242038818895,5.4562189908667404,29.77032567629487,158575.0,61.71709649683789,39.0,22.71709649683789,52,-25,11,6,384
empty,2026-05-17T22:29:54.431,21.477824,18,packet,1,54.76609994851985,5.3133782790634925,28.23198873642372,157433.0,63.56099432828282,38.897300677553446,24.66369365072937,52,-25,11,6,384
empty,2026-05-17T22:29:54.432,21.478823,19,packet,1,45.420238555736844,4.723306241145958,22.309621847648366,108436.0,52.49761899362675,32.0624390837628,20.435179909863955,52,-25,11,6,384
empty,2026-05-17T22:29:54.432,21.478823,19,window,20,32.20723925883771,22.58786639047576,510.21170807398437,5942469.0,68.41052550594829,0.0,68.41052550594829,3840,-25,11,6,384
empty,2026-05-17T22:29:54.542,21.588404,20,packet,1,55.128510606728064,5.521044617505355,30.48193366848485,159621.0,66.27216610312357,41.19465984809196,25.077506255031608,52,-25,11,6,384
empty,2026-05-17T22:29:54.542,21.588404,20,window,20,32.22571358845068,22.63501731201325,512.3440087151395,5955228.0,68.41052550594829,0.0,68.41052550594829,3840,-25,11,6,384
empty,2026-05-17T22:29:54.652,21.698558,21,packet,1,54.518758432862725,5.388126020805597,29.031902016082352,156069.0,64.07807737440318,42.01190307520001,22.06617429920317,52,-25,11,6,384
empty,2026-05-17T22:29:54.652,21.698558,21,window,20,32.23148055401563,22.608042559661023,511.1235883794441,5951969.0,68.41052550594829,0.0,68.41052550594829,3840,-25,11,6,384
empty,2026-05-17T22:30:06.241,33.287573,22,packet,1,28.78965453345947,21.641421033380794,468.3511043440566,166041.0,68.70953354520753,0.0,68.70953354520753,128,-21,11,6,256
empty,2026-05-17T22:30:06.241,33.287573,22,window,20,32.02567923778561,22.52589001689797,507.4157210533837,5788834.0,68.70953354520753,0.0,68.70953354520753,3776,-21,11,6,256
empty,2026-05-17T22:30:06.356,33.402517,23,packet,1,55.29803337611262,5.760659427706664,33.18519704202567,160735.0,63.387695966961914,39.44616584663204,23.941530120329872,52,-25,11,6,384
empty,2026-05-17T22:30:06.356,33.402517,23,window,20,32.19697603865277,22.688776551943842,514.7805814240368,5858184.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:06.466,33.513269,24,packet,1,54.59661436966407,5.591725286339036,31.267391677883374,156627.0,64.4980619863884,39.66106403010388,24.836997956284513,52,-25,11,6,384
empty,2026-05-17T22:30:06.466,33.513269,24,window,20,32.18371471112987,22.653649829838574,513.1878506129453,5848946.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:06.578,33.625174,25,packet,1,54.563131082797895,5.867062190662715,34.42241874910397,156601.0,63.953107821277925,38.63935817272331,25.313749648554612,52,-25,11,6,384
empty,2026-05-17T22:30:06.578,33.625174,25,window,20,32.210844648850504,22.670490921411268,513.9511586177907,5858425.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:06.672,33.719312,26,packet,1,54.20237879589289,5.308394855647518,28.17905594346503,154236.0,62.64982043070834,38.01315561749642,24.636664813211915,52,-25,11,6,384
empty,2026-05-17T22:30:06.672,33.719312,26,window,20,32.15717302786889,22.64407530866553,512.754146584516,5840860.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:06.785,33.83235,27,packet,1,54.09669522094403,5.335788891566943,28.470643095369187,153656.0,61.0,41.48493702538308,19.515062974616917,52,-25,11,6,384
empty,2026-05-17T22:30:06.785,33.83235,27,window,20,32.349271495972914,22.759340003801686,517.9875574086477,5907412.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:06.897,33.943767,28,packet,1,55.72194020488055,5.376944638906893,28.911533649869575,162960.0,64.41273166075166,42.190046219457976,22.222685441293685,52,-25,11,6,384
empty,2026-05-17T22:30:06.897,33.943767,28,window,20,32.52856144283476,22.919360520009253,525.2970866461588,5978935.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:07.009,34.055774,29,packet,1,54.58728675074003,5.363449144995082,28.76658673094848,156444.0,63.12685640834652,40.024992192379,23.101864215967517,52,-25,11,6,384
empty,2026-05-17T22:30:07.009,34.055774,29,window,20,32.52983734666783,22.917722908287157,525.2220233010299,5978965.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:07.121,34.168267,30,packet,1,55.303015384672676,5.909538324506541,34.92264320881158,160854.0,63.51377803280167,39.319206502675,24.194571530126666,52,-25,11,6,384
empty,2026-05-17T22:30:07.121,34.168267,30,window,20,32.725992476592815,23.069244262193898,532.1900308287661,6053610.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
empty,2026-05-17T22:30:07.234,34.28097,31,packet,1,46.72097219710782,4.886872843429407,23.881526187847815,114750.0,53.600373133029585,33.015148038438355,20.58522509459123,52,-25,11,6,384
empty,2026-05-17T22:30:07.234,34.28097,31,window,20,32.53699636364707,22.942092980891577,526.3396303438745,5984944.0,68.70953354520753,0.0,68.70953354520753,3776,-25,11,6,384
