seed,scenario_id,quadrant,strategy,windows,accuracy,macro_f1,weighted_f1,empty_f1,static_presence_f1,movement_f1,true_state_changes,final_state_changes,extra_state_changes,missing_state_changes,transition_count,transition_success_count,transition_success_rate,transition_delay_mean,confidence_mean,confidence_std,realtime_score
126,seed126_quad1_scenario3,quad1,confirm3_conf050_override080,60,0.36666666666666664,0.3254688445251059,0.26424682395644283,0.0,0.3448275862068966,0.631578947368421,4,6,2,0,4,3,0.75,3.5,0.6017415059583426,0.1293370248008348,0.2804688445251059
126,seed126_quad1_scenario3,quad1,vote3_confirm2_conf050,60,0.38333333333333336,0.3406713505074161,0.2830913348946135,0.0,0.39344262295081966,0.6285714285714286,4,8,4,0,4,3,0.75,3.75,0.6017415059583426,0.1293370248008348,0.2831713505074161
126,seed126_quad1_scenario3,quad1,vote3_confirm2_conf060,60,0.31666666666666665,0.26371399623679265,0.23482414242292665,0.0,0.3829787234042554,0.4081632653061225,4,7,3,0,4,3,0.75,4.25,0.6017415059583426,0.1293370248008348,0.20621399623679265
126,seed126_quad1_scenario3,quad1,movement_priority_confirm,60,0.35,0.31039136302294196,0.24939271255060724,0.0,0.3157894736842105,0.6153846153846153,4,6,2,0,4,3,0.75,3.5,0.6017415059583426,0.1293370248008348,0.265391363022942
126,seed126_quad2_scenario1,quad2,raw_prediction,60,0.7333333333333333,0.7252525252525253,0.7369696969696969,0.9090909090909091,0.6,0.6666666666666666,4,29,25,0,4,4,1.0,0.5,0.5160686770301567,0.12327134117496316,0.5952525252525253
126,seed126_quad2_scenario1,quad2,majority_vote_3,60,0.7166666666666667,0.7065527065527065,0.7145299145299145,0.888888888888889,0.5641025641025641,0.6666666666666666,4,26,22,0,4,4,1.0,1.0,0.5160686770301567,0.12327134117496316,0.5865527065527065
126,seed126_quad2_scenario1,quad2,majority_vote_5,60,0.7333333333333333,0.7056119745195376,0.7170046396937154,0.9387755102040817,0.5294117647058825,0.6486486486486487,4,19,15,0,4,4,1.0,2.25,0.5160686770301567,0.12327134117496316,0.6081119745195376
126,seed126_quad2_scenario1,quad2,confidence_hold_055,60,0.5166666666666667,0.44344193817878025,0.4064160401002507,0.7017543859649124,0.0,0.6285714285714286,4,6,2,0,4,2,0.5,6.25,0.5160686770301567,0.12327134117496316,0.37094193817878024
126,seed126_quad2_scenario1,quad2,confidence_hold_065,60,0.5833333333333334,0.47181889149102263,0.4404683840749415,0.7868852459016393,0.0,0.6285714285714286,4,2,0,2,4,2,0.5,6.25,0.5160686770301567,0.12327134117496316,0.34931889149102263
126,seed126_quad2_scenario1,quad2,confirm2_conf050_override075,60,0.5333333333333333,0.4509031198686371,0.41536945812807885,0.7241379310344829,0.0,0.6285714285714286,4,6,2,0,4,2,0.5,6.25,0.5160686770301567,0.12327134117496316,0.3784031198686371
